steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,18015.89791060554,alpha,132,1
2,133,18079.37156244494,alpha,132,1
3,134,18178.28241430682,alpha,132,1
4,135,18292.839507236946,alpha,132,1
5,136,18424.480194159478,alpha,132,1
6,137,18572.009144435397,alpha,132,1
7,138,18734.568321664123,alpha,132,1
8,139,18911.269897034774,alpha,132,1
9,140,19101.244011051313,alpha,132,1
10,141,19303.634773823174,alpha,132,1
11,142,19517.602539381598,alpha,132,1
12,143,19742.32524110742,alpha,132,1
13,144,19976.999690266013,alpha,132,1
14,145,20220.84273055853,alpha,132,1
15,146,20473.092267213167,alpha,132,1
16,147,20733.008173613445,alpha,132,1
17,148,20999.87308046606,alpha,132,1
18,149,21272.99305231636,alpha,132,1
19,150,21551.698156279494,alpha,132,1
20,151,21835.34292786606,alpha,132,1
21,152,22123.30673878114,alpha,132,1
1,132,18550.993273226843,alpha,132,2
2,133,18771.604915743104,alpha,132,2
3,134,18837.074530573092,alpha,132,2
4,135,19002.06046478622,alpha,132,2
5,136,19199.46867478097,alpha,132,2
6,137,19399.00372746891,alpha,132,2
7,138,19610.75315848623,alpha,132,2
8,139,19836.719620076357,alpha,132,2
9,140,20074.15089797839,alpha,132,2
10,141,20321.791385448316,alpha,132,2
11,142,20578.944731347947,alpha,132,2
12,143,20844.708991607957,alpha,132,2
13,144,21118.163802846604,alpha,132,2
14,145,21398.45931510753,alpha,132,2
15,146,21684.78474539381,alpha,132,2
16,147,21976.359405306837,alpha,132,2
17,148,22272.437956334863,alpha,132,2
18,149,22572.31136008306,alpha,132,2
19,150,22875.30609934523,alpha,132,2
20,151,23180.783967971336,alpha,132,2
21,152,23488.141913192496,alpha,132,2
1,132,19469.531971811943,alpha,132,3
2,133,20718.075755583748,alpha,132,3
3,134,20566.649197619285,alpha,132,3
4,135,20150.45589373381,alpha,132,3
5,136,20191.168504643283,alpha,132,3
6,137,20579.771538295638,alpha,132,3
7,138,20899.467262760067,alpha,132,3
8,139,21075.20278335758,alpha,132,3
9,140,21232.435003345534,alpha,132,3
10,141,21464.88381410629,alpha,132,3
11,142,21744.16900266873,alpha,132,3
12,143,22023.31567700577,alpha,132,3
13,144,22291.987706981905,alpha,132,3
14,145,22567.366212134737,alpha,132,3
15,146,22858.11804062379,alpha,132,3
16,147,23159.87864503559,alpha,132,3
17,148,23465.758254023534,alpha,132,3
18,149,23774.32226658463,alpha,132,3
19,150,24086.894356717836,alpha,132,3
20,151,24403.83986098568,alpha,132,3
21,152,24723.841905733094,alpha,132,3
1,139,16641.49451384772,alpha,139,1
2,140,16316.985531014132,alpha,139,1
3,141,16014.710836886052,alpha,139,1
4,142,15726.277782476041,alpha,139,1
5,143,15452.702186139086,alpha,139,1
6,144,15193.900957394268,alpha,139,1
7,145,14949.86934794686,alpha,139,1
8,146,14720.552196520079,alpha,139,1
9,147,14505.861071672942,alpha,139,1
10,148,14305.675036674264,alpha,139,1
11,149,14119.8431708531,alpha,139,1
12,150,13948.186818500748,alpha,139,1
13,151,13790.501790299964,alpha,139,1
14,152,13646.56049066205,alpha,139,1
15,153,13516.113972770152,alpha,139,1
16,154,13398.893920233439,alpha,139,1
17,155,13294.614554847185,alpha,139,1
18,156,13202.97447013983,alpha,139,1
19,157,13123.658390604362,alpha,139,1
20,158,13056.33885670986,alpha,139,1
21,159,13000.677835975373,alpha,139,1
1,139,17028.144556825566,alpha,139,2
2,140,16808.25242089083,alpha,139,2
3,141,16485.14852945365,alpha,139,2
4,142,16241.935789715968,alpha,139,2
5,143,16028.816090004371,alpha,139,2
6,144,15822.73793731221,alpha,139,2
7,145,15632.702363547696,alpha,139,2
8,146,15461.000998631052,alpha,139,2
9,147,15305.72116209105,alpha,139,2
10,148,15166.261057598449,alpha,139,2
11,149,15042.49677105113,alpha,139,2
12,150,14934.04225443162,alpha,139,2
13,151,14840.43854810822,alpha,139,2
14,152,14761.250398460035,alpha,139,2
15,153,14696.03334000874,alpha,139,2
16,154,14644.325245214168,alpha,139,2
17,155,14605.654755683467,alpha,139,2
18,156,14579.544502521103,alpha,139,2
19,157,14565.512110606083,alpha,139,2
20,158,14563.071999046928,alpha,139,2
21,159,14571.73728475665,alpha,139,2
1,139,18674.152624746384,alpha,139,3
2,140,18762.076111786886,alpha,139,3
3,141,18058.222813494063,alpha,139,3
4,142,17177.040510111423,alpha,139,3
5,143,16981.861739138272,alpha,139,3
6,144,16928.294818972863,alpha,139,3
7,145,16789.876193932134,alpha,139,3
8,146,16495.239394137257,alpha,139,3
9,147,16250.73374802315,alpha,139,3
10,148,16086.385582582752,alpha,139,3
11,149,15971.257267029587,alpha,139,3
12,150,15849.680946269385,alpha,139,3
13,151,15730.93402794313,alpha,139,3
14,152,15631.73748580803,alpha,139,3
15,153,15560.373162145988,alpha,139,3
16,154,15508.015209283638,alpha,139,3
17,155,15469.232088890909,alpha,139,3
18,156,15443.635691593481,alpha,139,3
19,157,15433.614884786035,alpha,139,3
20,158,15439.009521246162,alpha,139,3
21,159,15458.283501537146,alpha,139,3
1,146,21266.956993299802,alpha,146,1
2,147,21664.795884395688,alpha,146,1
3,148,22063.15756221496,alpha,146,1
4,149,22482.86135098144,alpha,146,1
5,150,22919.78246550602,alpha,146,1
6,151,23372.40982509232,alpha,146,1
7,152,23839.0454306345,alpha,146,1
8,153,24318.089146788327,alpha,146,1
9,154,24808.009641318946,alpha,146,1
10,155,25307.347000932044,alpha,146,1
11,156,25814.71192064529,alpha,146,1
12,157,26328.785050105187,alpha,146,1
13,158,26848.316147653095,alpha,146,1
14,159,27372.12309216321,alpha,146,1
15,160,27899.09076159441,alpha,146,1
16,161,28428.169790862506,alpha,146,1
17,162,28958.375220750648,alpha,146,1
18,163,29488.785049146645,alpha,146,1
19,164,30018.538695418345,alpha,146,1
20,165,30546.83538826576,alpha,146,1
21,166,31072.932486917183,alpha,146,1
1,146,21885.313858631467,alpha,146,2
2,147,22159.918732395403,alpha,146,2
3,148,22765.371450815688,alpha,146,2
4,149,23435.842430505203,alpha,146,2
5,150,24049.34884070984,alpha,146,2
6,151,24660.93537719047,alpha,146,2
7,152,25283.364543870655,alpha,146,2
8,153,25904.056521639555,alpha,146,2
9,154,26520.422102255146,alpha,146,2
10,155,27133.27581007812,alpha,146,2
11,156,27741.529329536468,alpha,146,2
12,157,28343.85681742313,alpha,146,2
13,158,28939.413134872306,alpha,146,2
14,159,29527.469695763153,alpha,146,2
15,160,30107.324291675213,alpha,146,2
16,161,30678.365771248697,alpha,146,2
17,162,31240.07617735784,alpha,146,2
18,163,31792.01331716622,alpha,146,2
19,164,32333.806122799415,alpha,146,2
20,165,32865.15214052529,alpha,146,2
21,166,33385.81279044818,alpha,146,2
1,146,22777.293909933564,alpha,146,3
2,147,24561.379495320194,alpha,146,3
3,148,24367.715076882163,alpha,146,3
4,149,24558.66385739318,alpha,146,3
5,150,25046.50396471585,alpha,146,3
6,151,25902.587287347,alpha,146,3
7,152,26554.512022192655,alpha,146,3
8,153,27085.27548557609,alpha,146,3
9,154,27586.94150462268,alpha,146,3
10,155,28166.965736730574,alpha,146,3
11,156,28769.71200840665,alpha,146,3
12,157,29354.581469613804,alpha,146,3
13,158,29910.68768994201,alpha,146,3
14,159,30459.85779789352,alpha,146,3
15,160,31010.05686498715,alpha,146,3
16,161,31556.91322298451,alpha,146,3
17,162,32092.841312654047,alpha,146,3
18,163,32616.82025228424,alpha,146,3
19,164,33130.84841804426,alpha,146,3
20,165,33636.05616702298,alpha,146,3
21,166,34131.57829925098,alpha,146,3
1,153,30396.028303376235,alpha,153,1
2,154,31215.739974682947,alpha,153,1
3,155,32008.740623402045,alpha,153,1
4,156,32819.39457920858,alpha,153,1
5,157,33640.997571590975,alpha,153,1
6,158,34472.32041899129,alpha,153,1
7,159,35311.63149722705,alpha,153,1
8,160,36157.32889496828,alpha,153,1
9,161,37007.87359696695,alpha,153,1
10,162,37861.79639169812,alpha,153,1
11,163,38717.696821569814,alpha,153,1
12,164,39574.24282047973,alpha,153,1
13,165,40430.17013383795,alpha,153,1
14,166,41284.28162563858,alpha,153,1
15,167,42135.4464702817,alpha,153,1
16,168,42982.59923797605,alpha,153,1
17,169,43824.73888119559,alpha,153,1
18,170,44660.92762961637,alpha,153,1
19,171,45490.2898007662,alpha,153,1
20,172,46312.010533433844,alpha,153,1
21,173,47125.334450690876,alpha,153,1
1,153,31502.35710561385,alpha,153,2
2,154,31757.142852267065,alpha,153,2
3,155,32630.568755677796,alpha,153,2
4,156,33670.168583370614,alpha,153,2
5,157,34584.96514726004,alpha,153,2
6,158,35483.52376811073,alpha,153,2
7,159,36404.25475783914,alpha,153,2
8,160,37321.70502222555,alpha,153,2
9,161,38229.715175989,alpha,153,2
10,162,39131.65812498812,alpha,153,2
11,163,40026.61053271075,alpha,153,2
12,164,40912.52662902106,alpha,153,2
13,165,41788.37202927782,alpha,153,2
14,166,42653.33159692249,alpha,153,2
15,167,43506.50664698558,alpha,153,2
16,168,44347.08337535818,alpha,153,2
17,169,45174.36499315865,alpha,153,2
18,170,45987.73390133405,alpha,153,2
19,171,46786.64543573917,alpha,153,2
20,172,47570.630815981305,alpha,153,2
21,173,48339.293516351936,alpha,153,2
1,153,31856.793363685494,alpha,153,3
2,154,33826.73793312118,alpha,153,3
3,155,33582.76244902597,alpha,153,3
4,156,34307.62200144428,alpha,153,3
5,157,35271.0024334573,alpha,153,3
6,158,36535.73377293187,alpha,153,3
7,159,37441.02189924646,alpha,153,3
8,160,38282.22755534791,alpha,153,3
9,161,39129.12984964497,alpha,153,3
10,162,40069.3082141784,alpha,153,3
11,163,40994.073880705524,alpha,153,3
12,164,41884.646194763125,alpha,153,3
13,165,42743.78036605251,alpha,153,3
14,166,43600.54345006928,alpha,153,3
15,167,44451.917719313686,alpha,153,3
16,168,45289.90568817727,alpha,153,3
17,169,46107.939103906574,alpha,153,3
18,170,46908.55599864744,alpha,153,3
19,171,47693.72189742844,alpha,153,3
20,172,48463.33625834265,alpha,153,3
21,173,49215.660884230776,alpha,153,3
1,160,42812.12413398149,alpha,160,1
2,161,43706.46826143087,alpha,160,1
3,162,44663.64570717338,alpha,160,1
4,163,45612.73003701113,alpha,160,1
5,164,46562.922187233926,alpha,160,1
6,165,47511.475411553605,alpha,160,1
7,166,48457.508983926826,alpha,160,1
8,167,49399.93437272329,alpha,160,1
9,168,50337.76508465088,alpha,160,1
10,169,51270.068792833656,alpha,160,1
11,170,52195.973070259155,alpha,160,1
12,171,53114.66302063971,alpha,160,1
13,172,54025.38007134995,alpha,160,1
14,173,54927.42054423499,alpha,160,1
15,174,55820.13421762195,alpha,160,1
16,175,56702.9228529661,alpha,160,1
17,176,57575.23869534947,alpha,160,1
18,177,58436.58295147251,alpha,160,1
19,178,59286.50424940931,alpha,160,1
20,179,60124.59708409663,alpha,160,1
21,180,60950.50025236769,alpha,160,1
1,160,42656.16765562961,alpha,160,2
2,161,44155.002424211576,alpha,160,2
3,162,45059.5000042401,alpha,160,2
4,163,45985.30877922912,alpha,160,2
5,164,47022.629060451756,alpha,160,2
6,165,48024.68037645995,alpha,160,2
7,166,48996.748445646095,alpha,160,2
8,167,49967.35654347934,alpha,160,2
9,168,50929.14035938479,alpha,160,2
10,169,51876.26124818741,alpha,160,2
11,170,52810.259845131724,alpha,160,2
12,171,53731.16894423055,alpha,160,2
13,172,54637.83777430863,alpha,160,2
14,173,55529.73714512213,alpha,160,2
15,174,56406.570662068916,alpha,160,2
16,175,57267.95957491357,alpha,160,2
17,176,58113.57548575902,alpha,160,2
18,177,58943.179140671564,alpha,160,2
19,178,59756.5816936068,alpha,160,2
20,179,60553.63934793063,alpha,160,2
21,180,61334.25849889213,alpha,160,2
1,160,44291.31441993789,alpha,160,3
2,161,45579.847030385325,alpha,160,3
3,162,46443.42369880096,alpha,160,3
4,163,47093.60605060546,alpha,160,3
5,164,48102.61501443142,alpha,160,3
6,165,49151.67092672107,alpha,160,3
7,166,50114.09621048819,alpha,160,3
8,167,51010.993741933795,alpha,160,3
9,168,51917.1390724819,alpha,160,3
10,169,52831.617359437674,alpha,160,3
