steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17411.566177789926,alpha,132,1
2,133,16910.637179616017,alpha,132,1
3,134,16412.75210173122,alpha,132,1
4,135,15909.928798471052,alpha,132,1
5,136,15403.873715928728,alpha,132,1
6,137,14895.312294823427,alpha,132,1
7,138,14385.111896150873,alpha,132,1
8,139,13874.166744418184,alpha,132,1
9,140,13363.410298368488,alpha,132,1
10,141,12853.814586930921,alpha,132,1
11,142,12346.39084869112,alpha,132,1
12,143,11842.190014148768,alpha,132,1
13,144,11342.3031775642,alpha,132,1
14,145,10847.862041797987,alpha,132,1
15,146,10360.039336104419,alpha,132,1
16,147,9880.049205120136,alpha,132,1
17,148,9409.147567426031,alpha,132,1
18,149,8948.63244200898,alpha,132,1
19,150,8499.844240918404,alpha,132,1
20,151,8064.1660263793,alpha,132,1
21,152,7643.023730591181,alpha,132,1
1,132,18315.806059700903,alpha,132,2
2,133,21014.555007792544,alpha,132,2
3,134,22726.63822583342,alpha,132,2
4,135,23337.589184626704,alpha,132,2
5,136,22977.184881900903,alpha,132,2
6,137,22814.96800903417,alpha,132,2
7,138,23321.104044370586,alpha,132,2
8,139,24461.90436565876,alpha,132,2
9,140,25761.096812070813,alpha,132,2
10,141,26882.29745949153,alpha,132,2
11,142,27778.71286224574,alpha,132,2
12,143,28643.840284336824,alpha,132,2
13,144,29673.629230481805,alpha,132,2
14,145,30931.422490329714,alpha,132,2
15,146,32347.740134873195,alpha,132,2
16,147,33820.50924061122,alpha,132,2
17,148,35299.38482960756,alpha,132,2
18,149,36803.50933963829,alpha,132,2
19,150,38382.030075047864,alpha,132,2
20,151,40067.7595962754,alpha,132,2
21,152,41859.148840461625,alpha,132,2
1,132,15539.506188061088,alpha,132,3
2,133,16467.95439885184,alpha,132,3
3,134,18737.7876204513,alpha,132,3
4,135,19602.443985249847,alpha,132,3
5,136,19025.24394294992,alpha,132,3
6,137,17178.409882646054,alpha,132,3
7,138,15577.381020579487,alpha,132,3
8,139,15099.609715398401,alpha,132,3
9,140,15591.090597640723,alpha,132,3
10,141,16363.305262226611,alpha,132,3
11,142,16715.04982783273,alpha,132,3
12,143,16389.799255929887,alpha,132,3
13,144,15664.182337321341,alpha,132,3
14,145,15003.051413603127,alpha,132,3
15,146,14747.484976928681,alpha,132,3
16,147,14905.405189447105,alpha,132,3
17,148,15225.221296206117,alpha,132,3
18,149,15413.914493117481,alpha,132,3
19,150,15341.073415350169,alpha,132,3
20,151,15087.901079326868,alpha,132,3
21,152,14849.195522990078,alpha,132,3
1,139,16487.86842889529,alpha,139,1
2,140,16026.830058981492,alpha,139,1
3,141,15565.548563927561,alpha,139,1
4,142,15101.960523587792,alpha,139,1
5,143,14636.942510763529,alpha,139,1
6,144,14171.174097325147,alpha,139,1
7,145,13705.379174022355,alpha,139,1
8,146,13240.307678540783,alpha,139,1
9,147,12776.737383915064,alpha,139,1
10,148,12315.474119094677,alpha,139,1
11,149,11857.352096808896,alpha,139,1
12,150,11403.234217978941,alpha,139,1
13,151,10954.012361941015,alpha,139,1
14,152,10510.607660866004,alpha,139,1
15,153,10073.97075758715,alpha,139,1
16,154,9645.082045964682,alpha,139,1
17,155,9224.951892904824,alpha,139,1
18,156,8814.620841133734,alpha,139,1
19,157,8415.159791810593,alpha,139,1
20,158,8027.670166048019,alpha,139,1
21,159,7653.284044392181,alpha,139,1
1,139,19756.71199544682,alpha,139,2
2,140,22454.70710006496,alpha,139,2
3,141,23834.355197289027,alpha,139,2
4,142,23668.482726090355,alpha,139,2
5,143,23143.614349968964,alpha,139,2
