steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,15791.272808686732,alpha,132,1
2,133,14387.219128670764,alpha,132,1
3,134,13195.01209914424,alpha,132,1
4,135,12191.990113405573,alpha,132,1
5,136,11316.120556333535,alpha,132,1
6,137,10532.350854086657,alpha,132,1
7,138,9815.496060281508,alpha,132,1
8,139,9148.818937682256,alpha,132,1
9,140,8521.217890145106,alpha,132,1
10,141,7925.532875684197,alpha,132,1
11,142,7357.297352499423,alpha,132,1
12,143,6813.86777449468,alpha,132,1
13,144,6293.812160392052,alpha,132,1
14,145,5796.484391453792,alpha,132,1
15,146,5321.729800318775,alpha,132,1
16,147,4869.683478851699,alpha,132,1
17,148,4440.633748066781,alpha,132,1
18,149,4034.9311979808026,alpha,132,1
19,150,3652.9293994822656,alpha,132,1
20,151,3294.9474637099665,alpha,132,1
21,152,2961.247531085646,alpha,132,1
1,132,16168.310505926609,alpha,132,2
2,133,15281.51847983338,alpha,132,2
3,134,14707.581346297637,alpha,132,2
4,135,14068.747875687666,alpha,132,2
5,136,13346.923136277124,alpha,132,2
6,137,12578.232068334706,alpha,132,2
7,138,11797.616197864525,alpha,132,2
8,139,11034.670392373577,alpha,132,2
9,140,10302.035201675259,alpha,132,2
10,141,9599.549807689153,alpha,132,2
11,142,8922.931115701795,alpha,132,2
12,143,8268.50006951578,alpha,132,2
13,144,7634.536268834956,alpha,132,2
14,145,7020.937894890085,alpha,132,2
15,146,6428.364487773739,alpha,132,2
16,147,5857.571752056479,alpha,132,2
17,148,5309.1238768422045,alpha,132,2
18,149,4783.371116886847,alpha,132,2
19,150,4280.5312033812515,alpha,132,2
20,151,3800.7699735502247,alpha,132,2
21,152,3344.2436861367896,alpha,132,2
1,132,17744.000622438267,alpha,132,3
2,133,19078.61594382301,alpha,132,3
3,134,19684.38938525878,alpha,132,3
4,135,18803.832178586163,alpha,132,3
5,136,16667.048664870672,alpha,132,3
6,137,15074.127248601057,alpha,132,3
7,138,14254.164371008053,alpha,132,3
8,139,14260.407080392353,alpha,132,3
9,140,14322.433219022118,alpha,132,3
10,141,13881.084285112098,alpha,132,3
11,142,12814.475409419276,alpha,132,3
12,143,11671.348295760341,alpha,132,3
13,144,10827.987280080095,alpha,132,3
14,145,10422.43463501148,alpha,132,3
15,146,10220.002631626558,alpha,132,3
16,147,9920.867495334707,alpha,132,3
17,148,9365.095549099613,alpha,132,3
18,149,8676.443912730087,alpha,132,3
19,150,8054.411749150138,alpha,132,3
20,151,7627.728462116793,alpha,132,3
21,152,7359.8626896808855,alpha,132,3
1,139,14515.122273725352,alpha,139,1
2,140,12726.105504418683,alpha,139,1
3,141,11217.500186098358,alpha,139,1
4,142,9957.367481959942,alpha,139,1
5,143,8893.077802136855,alpha,139,1
6,144,7985.446672091646,alpha,139,1
7,145,7202.914639707507,alpha,139,1
8,146,6520.585688685276,alpha,139,1
9,147,5918.950428875294,alpha,139,1
10,148,5382.862056530317,alpha,139,1
11,149,4900.673831424499,alpha,139,1
12,150,4463.523786348409,alpha,139,1
13,151,4064.7453150235924,alpha,139,1
14,152,3699.3851650862343,alpha,139,1
15,153,3363.812221112388,alpha,139,1
16,154,3055.402436674871,alpha,139,1
17,155,2772.2871508703083,alpha,139,1
18,156,2513.153775699835,alpha,139,1
19,157,2277.0894391860675,alpha,139,1
20,158,2063.4596042711255,alpha,139,1
21,159,1871.8149540598042,alpha,139,1
1,139,14869.740630041808,alpha,139,2
2,140,13457.04582730215,alpha,139,2
3,141,12404.202330905944,alpha,139,2
4,142,11459.190910441801,alpha,139,2
5,143,10558.781522639096,alpha,139,2
6,144,9698.728415117599,alpha,139,2
7,145,8879.630879694596,alpha,139,2
8,146,8100.601405653171,alpha,139,2
9,147,7360.056361216586,alpha,139,2
10,148,6656.369895499665,alpha,139,2
11,149,5988.068380779587,alpha,139,2
12,150,5353.863156116102,alpha,139,2
13,151,4752.638344853185,alpha,139,2
14,152,4183.4286599271,alpha,139,2
15,153,3645.3963719210587,alpha,139,2
16,154,3137.8099233333487,alpha,139,2
17,155,2660.0248475999106,alpha,139,2
18,156,2211.46705961111,alpha,139,2
19,157,1791.6183695415966,alpha,139,2
20,158,1400.0040073106065,alpha,139,2
21,159,1036.1819247648818,alpha,139,2
1,139,17761.964082589373,alpha,139,3
2,140,17552.846384654753,alpha,139,3
3,141,18497.17190094758,alpha,139,3
4,142,16916.88513618149,alpha,139,3
5,143,14910.578953905031,alpha,139,3
6,144,13338.208977618255,alpha,139,3
7,145,12685.753255468793,alpha,139,3
8,146,12125.7894655969,alpha,139,3
9,147,11784.757164504379,alpha,139,3
10,148,10891.711413932033,alpha,139,3
11,149,9594.323227144312,alpha,139,3
12,150,8276.310973633546,alpha,139,3
13,151,7306.074982801452,alpha,139,3
14,152,6570.609884084202,alpha,139,3
15,153,5977.971562709194,alpha,139,3
