steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17537.158449063518,alpha,132,1
2,133,17304.779559674913,alpha,132,1
3,134,17148.244644314702,alpha,132,1
4,135,17046.51811366872,alpha,132,1
5,136,16985.67333890589,alpha,132,1
6,137,16955.123071092148,alpha,132,1
7,138,16946.97536086395,alpha,132,1
8,139,16955.31103362651,alpha,132,1
9,140,16975.708381494784,alpha,132,1
10,141,17004.857666098458,alpha,132,1
11,142,17040.286806314114,alpha,132,1
12,143,17080.148702215258,alpha,132,1
13,144,17123.065506111092,alpha,132,1
14,145,17168.010183122744,alpha,132,1
15,146,17214.218680858063,alpha,132,1
16,147,17261.12369472032,alpha,132,1
17,148,17308.305274900446,alpha,132,1
18,149,17355.45371818007,alpha,132,1
19,150,17402.34182723235,alpha,132,1
20,151,17448.8041047823,alpha,132,1
21,152,17494.721183589383,alpha,132,1
1,132,18334.238344665617,alpha,132,2
2,133,18860.326575757004,alpha,132,2
3,134,19113.996770093217,alpha,132,2
4,135,19180.997160885483,alpha,132,2
5,136,19198.297913320363,alpha,132,2
6,137,19228.84658592008,alpha,132,2
7,138,19279.93139027059,alpha,132,2
8,139,19340.632699279115,alpha,132,2
9,140,19402.11855650693,alpha,132,2
10,141,19461.290378862992,alpha,132,2
11,142,19518.277038268745,alpha,132,2
12,143,19573.899225128815,alpha,132,2
13,144,19628.651885034516,alpha,132,2
14,145,19682.65967968665,alpha,132,2
15,146,19735.88944815658,alpha,132,2
16,147,19788.297287672758,alpha,132,2
17,148,19839.870751554146,alpha,132,2
18,149,19890.620074898005,alpha,132,2
19,150,19940.56246340461,alpha,132,2
20,151,19989.714029340073,alpha,132,2
21,152,20038.088402006775,alpha,132,2
1,132,18492.91123937536,alpha,132,3
2,133,21246.455294033512,alpha,132,3
3,134,23512.395140041597,alpha,132,3
4,135,23984.64137062896,alpha,132,3
5,136,22796.47416876722,alpha,132,3
6,137,21560.738105338998,alpha,132,3
7,138,21099.11294533685,alpha,132,3
8,139,21767.243342607282,alpha,132,3
9,140,22908.661315012723,alpha,132,3
10,141,23675.51943744067,alpha,132,3
11,142,23646.501670354977,alpha,132,3
12,143,23117.725739738904,alpha,132,3
13,144,22614.091116780415,alpha,132,3
14,145,22539.444315181114,alpha,132,3
15,146,22884.478066097945,alpha,132,3
16,147,23334.01904610917,alpha,132,3
17,148,23558.409242974594,alpha,132,3
18,149,23469.47219609376,alpha,132,3
19,150,23215.040951405652,alpha,132,3
20,151,23025.9857865097,alpha,132,3
21,152,23029.823978131637,alpha,132,3
1,139,16284.954131522696,alpha,139,1
2,140,15815.45232919644,alpha,139,1
3,141,15470.924621435704,alpha,139,1
4,142,15223.069978359246,alpha,139,1
5,143,15050.033666357907,alpha,139,1
6,144,14934.793110222781,alpha,139,1
7,145,14864.10846205233,alpha,139,1
8,146,14827.678780029359,alpha,139,1
9,147,14817.494219755943,alpha,139,1
10,148,14827.327226548774,alpha,139,1
11,149,14852.338536704836,alpha,139,1
12,150,14888.76930396206,alpha,139,1
13,151,14933.70192083963,alpha,139,1
14,152,14984.873514035808,alpha,139,1
15,153,15040.530861961588,alpha,139,1
16,154,15099.317362378531,alpha,139,1
17,155,15160.18505751212,alpha,139,1
18,156,15222.326119493297,alpha,139,1
19,157,15285.119513933243,alpha,139,1
20,158,15348.089469293762,alpha,139,1
21,159,15410.873145132118,alpha,139,1
1,139,16880.00667404011,alpha,139,2
2,140,17117.99865794182,alpha,139,2
3,141,17310.807852802798,alpha,139,2
4,142,17423.47030391544,alpha,139,2
5,143,17496.320968251675,alpha,139,2
6,144,17560.770883083344,alpha,139,2
7,145,17626.88176283799,alpha,139,2
8,146,17694.46255669184,alpha,139,2
9,147,17761.598930450156,alpha,139,2
10,148,17827.36829048209,alpha,139,2
11,149,17891.69804686308,alpha,139,2
12,150,17954.7710830383,alpha,139,2
13,151,18016.73269557953,alpha,139,2
14,152,18077.64879791066,alpha,139,2
15,153,18137.543765224516,alpha,139,2
16,154,18196.432035829872,alpha,139,2
