steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17720.300337478177,alpha,132,1
2,133,17455.953310559948,alpha,132,1
3,134,17183.922762662096,alpha,132,1
4,135,16885.413117076172,alpha,132,1
5,136,16564.014690604057,alpha,132,1
6,137,16220.058904463178,alpha,132,1
7,138,15854.518259237277,alpha,132,1
8,139,15468.5532432406,alpha,132,1
9,140,15063.612528936643,alpha,132,1
10,141,14641.407150918818,alpha,132,1
11,142,14203.874060422579,alpha,132,1
12,143,13753.124934867874,alpha,132,1
13,144,13291.389537929052,alpha,132,1
14,145,12820.958337203581,alpha,132,1
15,146,12344.127834546252,alpha,132,1
16,147,11863.150853623352,alpha,132,1
17,148,11380.193179671794,alpha,132,1
18,149,10897.297308187923,alpha,132,1
19,150,10416.353583442457,alpha,132,1
20,151,9939.078653114237,alpha,132,1
21,152,9467.000904300723,alpha,132,1
1,132,-3108.4375372312456,alpha,132,2
2,133,-2981.2144943653516,alpha,132,2
3,134,-2847.8931641692466,alpha,132,2
4,135,-3363.7617585317375,alpha,132,2
5,136,-3410.654809536345,alpha,132,2
6,137,-3550.91139526492,alpha,132,2
7,138,-3763.49521732591,alpha,132,2
8,139,-3883.1600116806426,alpha,132,2
9,140,-4040.406777879003,alpha,132,2
10,141,-4195.053703737581,alpha,132,2
11,142,-4336.982757438591,alpha,132,2
12,143,-4485.3918158150655,alpha,132,2
13,144,-4630.612602469704,alpha,132,2
14,145,-4772.712067698846,alpha,132,2
15,146,-4914.41993316389,alpha,132,2
16,147,-5053.118653603813,alpha,132,2
17,148,-5189.289992456963,alpha,132,2
18,149,-5322.861457211697,alpha,132,2
19,150,-5453.325676417271,alpha,132,2
20,151,-5580.727059158054,alpha,132,2
21,152,-5705.009039731608,alpha,132,2
1,132,-5136.266562867584,alpha,132,3
2,133,-2634.7528352934714,alpha,132,3
3,134,-1373.1747187838719,alpha,132,3
4,135,-2290.8039563625825,alpha,132,3
5,136,-4307.673342405058,alpha,132,3
6,137,-2337.3638117723895,alpha,132,3
7,138,-3165.482917385064,alpha,132,3
8,139,-3724.9428665459736,alpha,132,3
9,140,-3855.4348929105727,alpha,132,3
10,141,-3430.6559922363176,alpha,132,3
11,142,-4178.059528302065,alpha,132,3
12,143,-4195.617889029424,alpha,132,3
13,144,-4254.717325704571,alpha,132,3
14,145,-4379.3010132814525,alpha,132,3
15,146,-4708.316606275977,alpha,132,3
16,147,-4698.9576689150945,alpha,132,3
17,148,-4869.409501616191,alpha,132,3
18,149,-5032.001109694887,alpha,132,3
19,150,-5187.689364787933,alpha,132,3
20,151,-5271.988978652411,alpha,132,3
21,152,-5449.667914994498,alpha,132,3
1,139,16718.424713009917,alpha,139,1
2,140,16446.815983481632,alpha,139,1
3,141,16190.089245750953,alpha,139,1
4,142,15933.15016295892,alpha,139,1
5,143,15674.583163417448,alpha,139,1
6,144,15411.685419232066,alpha,139,1
7,145,15142.374300622025,alpha,139,1
8,146,14864.978301477464,alpha,139,1
9,147,14578.266834086426,alpha,139,1
10,148,14281.432346558076,alpha,139,1
11,149,13974.064449642481,alpha,139,1
12,150,13656.11479881487,alpha,139,1
13,151,13327.85603614034,alpha,139,1
14,152,12989.83707719207,alpha,139,1
15,153,12642.836741071631,alpha,139,1
16,154,12287.81737935032,alpha,139,1
17,155,11925.87985621869,alpha,139,1
