steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17891.36352576004,alpha,132,1
2,133,17767.486442849215,alpha,132,1
3,134,17650.848310962338,alpha,132,1
4,135,17517.50641728224,alpha,132,1
5,136,17371.097223015713,alpha,132,1
6,137,17209.40233612919,alpha,132,1
7,138,17030.322784945314,alpha,132,1
8,139,16831.589062161045,alpha,132,1
9,140,16611.156274614194,alpha,132,1
10,141,16367.343955292748,alpha,132,1
11,142,16098.917163824131,alpha,132,1
12,143,15805.11476029582,alpha,132,1
13,144,15485.645948171528,alpha,132,1
14,145,15140.665939339277,alpha,132,1
15,146,14770.738259111167,alpha,132,1
16,147,14376.788725517465,alpha,132,1
17,148,13960.054652099792,alpha,132,1
18,149,13522.031860604726,alpha,132,1
19,150,13064.421448353043,alpha,132,1
20,151,12589.077803004375,alpha,132,1
21,152,12097.95901953942,alpha,132,1
1,132,-2749.421211264076,alpha,132,2
2,133,-2927.555200661649,alpha,132,2
3,134,-2580.944293327637,alpha,132,2
4,135,-3020.518516769431,alpha,132,2
5,136,-3075.9476970737433,alpha,132,2
6,137,-3171.1060704777046,alpha,132,2
7,138,-3356.049667580548,alpha,132,2
8,139,-3451.571708065214,alpha,132,2
9,140,-3605.0159093154616,alpha,132,2
10,141,-3753.269940883776,alpha,132,2
11,142,-3878.638229749118,alpha,132,2
12,143,-4030.366343677242,alpha,132,2
13,144,-4175.975902670563,alpha,132,2
14,145,-4313.089169487377,alpha,132,2
15,146,-4457.585176739329,alpha,132,2
16,147,-4599.90693947444,alpha,132,2
17,148,-4737.266101284986,alpha,132,2
18,149,-4874.403619923736,alpha,132,2
19,150,-5009.800887281697,alpha,132,2
20,151,-5141.5630146735075,alpha,132,2
21,152,-5270.724808247061,alpha,132,2
1,132,-2759.5709424585493,alpha,132,3
2,133,-1263.8090022815086,alpha,132,3
3,134,-671.1987472230812,alpha,132,3
4,135,-781.9133648941734,alpha,132,3
5,136,-1810.3663331595544,alpha,132,3
6,137,-475.58396958187586,alpha,132,3
7,138,-1096.2336433099608,alpha,132,3
8,139,-1203.6544244292982,alpha,132,3
9,140,-1274.0166314032813,alpha,132,3
10,141,-1127.9420802918848,alpha,132,3
11,142,-1600.3244335520048,alpha,132,3
12,143,-1564.310354666206,alpha,132,3
13,144,-1773.8415754817397,alpha,132,3
14,145,-1836.556620018,alpha,132,3
15,146,-2087.625365347134,alpha,132,3
16,147,-2159.811982856527,alpha,132,3
17,148,-2307.5270652173876,alpha,132,3
18,149,-2422.1112988119603,alpha,132,3
19,150,-2589.108374367417,alpha,132,3
20,151,-2682.749417642879,alpha,132,3
21,152,-2818.1474710584516,alpha,132,3
1,139,16741.481865694695,alpha,139,1
2,140,16478.632265713528,alpha,139,1
3,141,16215.946588084027,alpha,139,1
4,142,15944.451148711343,alpha,139,1
5,143,15668.586127681454,alpha,139,1
6,144,15390.916299362148,alpha,139,1
7,145,15113.841269256396,alpha,139,1
8,146,14839.313357334919,alpha,139,1
9,147,14568.86279282799,alpha,139,1
10,148,14303.617518013365,alpha,139,1
11,149,14044.341300410559,alpha,139,1
12,150,13791.477738105776,alpha,139,1
13,151,13545.196026125852,alpha,139,1
14,152,13305.435722486058,alpha,139,1
15,153,13071.9490671188,alpha,139,1
16,154,12844.340128880853,alpha,139,1
17,155,12622.100472791537,alpha,139,1
18,156,12404.641264127178,alpha,139,1
19,157,12191.321840788822,alpha,139,1
20,158,11981.474841103754,alpha,139,1
21,159,11774.428001307155,alpha,139,1
1,139,-3336.384219456346,alpha,139,2
2,140,-2634.701085096118,alpha,139,2
3,141,-3096.5106782979456,alpha,139,2
4,142,-3746.285609598781,alpha,139,2
5,143,-3814.276306360265,alpha,139,2
6,144,-4116.111757058283,alpha,139,2
7,145,-4446.945796209453,alpha,139,2
8,146,-4649.95157921335,alpha,139,2
9,147,-4883.919420530387,alpha,139,2
10,148,-5123.772882552426,alpha,139,2
11,149,-5336.470673175456,alpha,139,2
