steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17674.127604512058,alpha,132,1
2,133,17349.28458348619,alpha,132,1
3,134,17016.410107049407,alpha,132,1
4,135,16664.482501323284,alpha,132,1
5,136,16302.84455252581,alpha,132,1
6,137,15935.312123559035,alpha,132,1
7,138,15564.926451404823,alpha,132,1
8,139,15193.88152830413,alpha,132,1
9,140,14823.944205244428,alpha,132,1
10,141,14456.651438528708,alpha,132,1
11,142,14093.437251211102,alpha,132,1
12,143,13735.700171799072,alpha,132,1
13,144,13384.8329708587,alpha,132,1
14,145,13042.22797233355,alpha,132,1
15,146,12709.267577273262,alpha,132,1
16,147,12387.306685806174,alpha,132,1
17,148,12077.65163874894,alpha,132,1
18,149,11781.538803121677,alpha,132,1
19,150,11500.114841995046,alpha,132,1
20,151,11234.419921532783,alpha,132,1
21,152,10985.374536558673,alpha,132,1
1,132,-3779.3422416647923,alpha,132,2
2,133,-4035.2716131498623,alpha,132,2
3,134,-3912.7498044872304,alpha,132,2
4,135,-4745.2944380711915,alpha,132,2
5,136,-4780.415892777783,alpha,132,2
6,137,-4950.754112139672,alpha,132,2
7,138,-5206.023743410074,alpha,132,2
8,139,-5280.146373279556,alpha,132,2
9,140,-5417.14848849419,alpha,132,2
10,141,-5538.385423979982,alpha,132,2
11,142,-5627.077907063427,alpha,132,2
12,143,-5731.254205394407,alpha,132,2
13,144,-5824.56643813261,alpha,132,2
14,145,-5913.344778300525,alpha,132,2
15,146,-6004.305585629949,alpha,132,2
16,147,-6091.43661309717,alpha,132,2
17,148,-6177.928195030605,alpha,132,2
18,149,-6264.104737178418,alpha,132,2
19,150,-6348.9926570089265,alpha,132,2
20,151,-6433.512556089721,alpha,132,2
21,152,-6517.504362987351,alpha,132,2
1,132,-4027.8050874744476,alpha,132,3
2,133,-2517.121345747152,alpha,132,3
3,134,-897.5742108708328,alpha,132,3
4,135,-1261.622387181901,alpha,132,3
5,136,-3265.151581478849,alpha,132,3
6,137,-1642.8440405614992,alpha,132,3
7,138,-1845.4095051364766,alpha,132,3
8,139,-2410.1881132738936,alpha,132,3
9,140,-2547.815131802273,alpha,132,3
10,141,-2049.7278096481805,alpha,132,3
11,142,-2492.4885873154562,alpha,132,3
12,143,-2599.3368239061465,alpha,132,3
13,144,-2544.244446248197,alpha,132,3
14,145,-2551.2481054885993,alpha,132,3
15,146,-2775.2962755638855,alpha,132,3
16,147,-2764.5436606293497,alpha,132,3
17,148,-2802.837779614175,alpha,132,3
18,149,-2892.646063130086,alpha,132,3
19,150,-2981.7546849409646,alpha,132,3
20,151,-3002.560349702416,alpha,132,3
21,152,-3077.628122053213,alpha,132,3
1,139,16708.141954252256,alpha,139,1
2,140,16403.02183299551,alpha,139,1
3,141,16102.11145221556,alpha,139,1
4,142,15796.354040510205,alpha,139,1
5,143,15489.478305848726,alpha,139,1
6,144,15182.624961304298,alpha,139,1
7,145,14876.64427852186,alpha,139,1
8,146,14572.080816689146,alpha,139,1
9,147,14269.364518537619,alpha,139,1
10,148,13968.91318930706,alpha,139,1
11,149,13671.198478329658,alpha,139,1
12,150,13376.780921941769,alpha,139,1
13,151,13086.322878198233,alpha,139,1
14,152,12800.585764640036,alpha,139,1
15,153,12520.416706673923,alpha,139,1
16,154,12246.728574569694,alpha,139,1
17,155,11980.476481030299,alpha,139,1
18,156,11722.633071846154,alpha,139,1
19,157,11474.16433841141,alpha,139,1
20,158,11236.0071879844,alpha,139,1
21,159,11009.0496066078,alpha,139,1
1,139,-4456.231354710295,alpha,139,2
2,140,-3513.630040818644,alpha,139,2
3,141,-3917.799950012858,alpha,139,2
4,142,-4793.476335034399,alpha,139,2
5,143,-4683.123252896014,alpha,139,2
6,144,-5033.592884024417,alpha,139,2
7,145,-5316.315467410578,alpha,139,2
8,146,-5415.901334273294,alpha,139,2
9,147,-5627.826801745012,alpha,139,2
10,148,-5784.040181609167,alpha,139,2
11,149,-5911.376092195761,alpha,139,2
12,150,-6058.4078624323365,alpha,139,2
13,151,-6184.220004435365,alpha,139,2
14,152,-6305.87563030214,alpha,139,2
15,153,-6428.727651520109,alpha,139,2
16,154,-6544.854129127309,alpha,139,2
17,155,-6659.994439405698,alpha,139,2
18,156,-6774.027272763744,alpha,139,2
19,157,-6885.8611893704665,alpha,139,2
20,158,-6997.016978931304,alpha,139,2
21,159,-7107.211241257284,alpha,139,2
1,139,-6410.963073499106,alpha,139,3
2,140,815.4650687022777,alpha,139,3
3,141,83.5130576313959,alpha,139,3
4,142,-2154.4319046439805,alpha,139,3
5,143,-2438.4224755804175,alpha,139,3
6,144,-84.80200283722024,alpha,139,3
7,145,-1750.4159199887677,alpha,139,3
8,146,-2004.4842279451477,alpha,139,3
9,147,-1493.9087318652132,alpha,139,3
10,148,-1311.3304725720054,alpha,139,3
11,149,-2045.6546881396748,alpha,139,3
12,150,-1776.940302491199,alpha,139,3
13,151,-1702.8414602815487,alpha,139,3
14,152,-1878.2227523488891,alpha,139,3
15,153,-2039.9318604217474,alpha,139,3
16,154,-1910.399322164958,alpha,139,3
17,155,-2014.1727124013237,alpha,139,3
18,156,-2111.67110803386,alpha,139,3
19,157,-2139.2840031603087,alpha,139,3
20,158,-2147.829598505492,alpha,139,3
21,159,-2241.1876300255767,alpha,139,3
1,146,20760.276769984826,alpha,146,1
2,147,20718.65944872703,alpha,146,1
3,148,20634.469040510266,alpha,146,1
4,149,20549.017125545073,alpha,146,1
5,150,20456.805898328865,alpha,146,1
6,151,20357.60503800461,alpha,146,1
7,152,20250.42144123653,alpha,146,1
8,153,20134.45534534547,alpha,146,1
9,154,20009.129434647177,alpha,146,1
10,155,19874.171173594586,alpha,146,1
11,156,19729.642329961443,alpha,146,1
12,157,19575.93988180512,alpha,146,1
13,158,19413.774780692125,alpha,146,1
14,159,19244.13559378254,alpha,146,1
15,160,19068.242575998058,alpha,146,1
16,161,18887.49667594629,alpha,146,1
17,162,18703.427036637688,alpha,146,1
18,163,18517.639736868947,alpha,146,1
19,164,18331.769815516753,alpha,146,1
20,165,18147.438019663827,alpha,146,1
21,166,17966.213209686888,alpha,146,1
1,146,-2186.3889988860365,alpha,146,2
2,147,-2235.6372915415386,alpha,146,2
3,148,-1203.8067664219252,alpha,146,2
4,149,-2419.5464397908036,alpha,146,2
5,150,-2301.0273308436463,alpha,146,2
6,151,-2308.2466026467137,alpha,146,2
7,152,-2660.9189623340526,alpha,146,2
8,153,-2681.3913748857267,alpha,146,2
9,154,-2797.192730396554,alpha,146,2
10,155,-2941.553642718687,alpha,146,2
11,156,-3014.267935288035,alpha,146,2
12,157,-3116.2917269294594,alpha,146,2
13,158,-3211.486934208244,alpha,146,2
14,159,-3292.0114553290605,alpha,146,2
15,160,-3377.928051440089,alpha,146,2
