steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17857.231115355466,alpha,132,1
2,133,17697.609234288888,alpha,132,1
3,134,17517.609035418012,alpha,132,1
4,135,17294.341815632062,alpha,132,1
5,136,17030.70532037334,alpha,132,1
6,137,16726.332111950393,alpha,132,1
7,138,16381.90318060838,alpha,132,1
8,139,15998.635576132903,alpha,132,1
9,140,15578.37272092027,alpha,132,1
10,141,15123.534102530677,alpha,132,1
11,142,14637.047397105529,alpha,132,1
12,143,14122.25935870885,alpha,132,1
13,144,13582.836498037992,alpha,132,1
14,145,13022.66203997772,alpha,132,1
15,146,12445.734374867665,alpha,132,1
16,147,11856.070876895232,alpha,132,1
17,148,11257.619922322068,alpha,132,1
18,149,10654.183078334861,alpha,132,1
19,150,10049.348719610904,alpha,132,1
20,151,9446.437735777432,alpha,132,1
21,152,8848.461500145873,alpha,132,1
1,132,-2231.663078044825,alpha,132,2
2,133,-2388.2380444562787,alpha,132,2
3,134,-2013.8967262307206,alpha,132,2
4,135,-2290.8126864016767,alpha,132,2
5,136,-2329.3697295950988,alpha,132,2
6,137,-2338.6047238092215,alpha,132,2
7,138,-2440.37377488889,alpha,132,2
8,139,-2497.578005283457,alpha,132,2
9,140,-2560.9296958677633,alpha,132,2
10,141,-2635.8433193745077,alpha,132,2
11,142,-2703.028462011557,alpha,132,2
12,143,-2771.895857776818,alpha,132,2
13,144,-2840.6641983590425,alpha,132,2
14,145,-2906.5765651735524,alpha,132,2
15,146,-2970.840303861909,alpha,132,2
16,147,-3032.5424528255107,alpha,132,2
17,148,-3091.140370537658,alpha,132,2
18,149,-3146.6262595291328,alpha,132,2
19,150,-3198.7063151741486,alpha,132,2
20,151,-3247.2779374947854,alpha,132,2
21,152,-3292.3550732847525,alpha,132,2
1,132,-3932.719315197376,alpha,132,3
2,133,-2614.1940944418047,alpha,132,3
3,134,-1133.1674498517004,alpha,132,3
4,135,-2002.514578576689,alpha,132,3
5,136,-3669.294401086564,alpha,132,3
6,137,-2213.7494535029164,alpha,132,3
7,138,-2797.6538191178943,alpha,132,3
8,139,-3325.446555974245,alpha,132,3
9,140,-3416.500454976607,alpha,132,3
10,141,-3168.2679959296374,alpha,132,3
11,142,-3744.5012111338965,alpha,132,3
12,143,-3775.6988259447153,alpha,132,3
13,144,-3866.506147736978,alpha,132,3
14,145,-4006.3885972244916,alpha,132,3
15,146,-4257.486516291806,alpha,132,3
16,147,-4288.835773847694,alpha,132,3
17,148,-4466.6036982459145,alpha,132,3
18,149,-4607.998171980729,alpha,132,3
19,150,-4752.420749633924,alpha,132,3
20,151,-4861.561168314482,alpha,132,3
21,152,-5028.411931803579,alpha,132,3
1,139,16739.639763133877,alpha,139,1
2,140,16454.908408947245,alpha,139,1
3,141,16158.284081366448,alpha,139,1
4,142,15836.198952429,alpha,139,1
5,143,15489.65690440579,alpha,139,1
6,144,15118.497685948423,alpha,139,1
7,145,14723.289813046329,alpha,139,1
8,146,14305.04931564342,alpha,139,1
9,147,13865.211267989042,alpha,139,1
10,148,13405.561789298392,alpha,139,1
11,149,12928.17008246375,alpha,139,1
12,150,12435.318898694215,alpha,139,1
13,151,11929.436311065887,alpha,139,1
14,152,11413.030634909643,alpha,139,1
15,153,10888.630006594016,alpha,139,1
16,154,10358.727756966768,alpha,139,1
17,155,9825.734384449333,alpha,139,1
18,156,9291.936633930389,alpha,139,1
19,157,8759.463922615976,alpha,139,1
20,158,8230.26212265863,alpha,139,1
21,159,7706.074512454457,alpha,139,1
1,139,-2878.6186424264947,alpha,139,2
2,140,-1962.9348701163863,alpha,139,2
3,141,-2026.4642871723458,alpha,139,2
4,142,-2282.8655134362916,alpha,139,2
5,143,-2125.413071074296,alpha,139,2
6,144,-2191.225381927533,alpha,139,2
7,145,-2242.1824858365753,alpha,139,2
8,146,-2239.3861544305732,alpha,139,2
9,147,-2280.776224484989,alpha,139,2
10,148,-2313.4968766797033,alpha,139,2
11,149,-2341.1313832002756,alpha,139,2
12,150,-2376.6333816589763,alpha,139,2
13,151,-2409.7061998899985,alpha,139,2
14,152,-2442.2514126018395,alpha,139,2
15,153,-2475.393656396807,alpha,139,2
16,154,-2507.116570359825,alpha,139,2
17,155,-2537.72945987754,alpha,139,2
18,156,-2567.0682450678946,alpha,139,2
19,157,-2594.653366858456,alpha,139,2
20,158,-2620.4390298056824,alpha,139,2
21,159,-2644.2847452836904,alpha,139,2
1,139,-7728.260925718894,alpha,139,3
2,140,-264.9294255214063,alpha,139,3
3,141,-572.3434303672102,alpha,139,3
4,142,-3694.875810205168,alpha,139,3
5,143,-3833.84981252148,alpha,139,3
6,144,-1279.04884560528,alpha,139,3
7,145,-3479.8056937407537,alpha,139,3
8,146,-3743.026059421936,alpha,139,3
9,147,-3181.100845675952,alpha,139,3
10,148,-3195.9974952260754,alpha,139,3
11,149,-4163.350854367065,alpha,139,3
12,150,-3794.018828250205,alpha,139,3
13,151,-3901.1457142210375,alpha,139,3
14,152,-4223.127584508137,alpha,139,3
15,153,-4450.541679416637,alpha,139,3
16,154,-4369.1753137345695,alpha,139,3
17,155,-4655.8264017026495,alpha,139,3
18,156,-4818.289759774587,alpha,139,3
19,157,-4931.362627745559,alpha,139,3
20,158,-5051.214863697942,alpha,139,3
21,159,-5265.158539236124,alpha,139,3
1,146,20760.991893204384,alpha,146,1
2,147,20689.10997494596,alpha,146,1
3,148,20559.627599096562,alpha,146,1
4,149,20413.5367030895,alpha,146,1
5,150,20248.609459594238,alpha,146,1
6,151,20067.32228292675,alpha,146,1
7,152,19871.315776322866,alpha,146,1
8,153,19662.141356392807,alpha,146,1
9,154,19441.23767760872,alpha,146,1
10,155,19209.977005333472,alpha,146,1
11,156,18969.687014009745,alpha,146,1
12,157,18721.663123913793,alpha,146,1
13,158,18467.172811346587,alpha,146,1
14,159,18207.454346540937,alpha,146,1
15,160,17943.711791983613,alpha,146,1
16,161,17677.107745514313,alpha,146,1
17,162,17408.754997545515,alpha,146,1
18,163,17139.708007747424,alpha,146,1
19,164,16870.954883063703,alpha,146,1
20,165,16603.410350526716,alpha,146,1
21,166,16337.910060292314,alpha,146,1
1,146,-1249.696893810421,alpha,146,2
2,147,-1122.928413191904,alpha,146,2
3,148,-63.37361688748388,alpha,146,2
4,149,-657.9519905131519,alpha,146,2
5,150,-486.9569623639527,alpha,146,2
6,151,-312.61307204065906,alpha,146,2
7,152,-378.05974642777073,alpha,146,2
8,153,-298.3818428462682,alpha,146,2
9,154,-244.19293937323982,alpha,146,2
10,155,-222.69870142243508,alpha,146,2
11,156,-177.39799039020272,alpha,146,2
12,157,-141.3129281220272,alpha,146,2
13,158,-109.9718417663671,alpha,146,2
14,159,-75.68077772131528,alpha,146,2
15,160,-44.06191106730239,alpha,146,2
16,161,-13.29434989444053,alpha,146,2
17,162,17.724413735964845,alpha,146,2
18,163,48.28992070052118,alpha,146,2
19,164,79.0243766737758,alpha,146,2
20,165,110.21585296139324,alpha,146,2
21,166,141.9204325246651,alpha,146,2
1,146,-4638.407704399342,alpha,146,3
2,147,-1768.8062474986036,alpha,146,3
3,148,550.3857760360988,alpha,146,3
4,149,-101.61315630788431,alpha,146,3
5,150,-2931.4745914795512,alpha,146,3
6,151,-232.97839756988924,alpha,146,3
7,152,-1030.3358707863008,alpha,146,3
8,153,-1595.3927124414604,alpha,146,3
9,154,-1636.585779067147,alpha,146,3
10,155,-1042.928053166881,alpha,146,3
11,156,-1788.4123168387996,alpha,146,3
12,157,-1685.808994552568,alpha,146,3
13,158,-1674.7509749399978,alpha,146,3
14,159,-1754.396848170054,alpha,146,3
15,160,-1992.2193661197161,alpha,146,3
16,161,-1911.3421692654483,alpha,146,3
17,162,-2040.0697888433278,alpha,146,3
18,163,-2131.43511303201,alpha,146,3
19,164,-2208.241229035644,alpha,146,3
20,165,-2246.923242261195,alpha,146,3
21,166,-2359.9605037679103,alpha,146,3
1,153,30080.437113911383,alpha,153,1
2,154,30601.632900434866,alpha,153,1
3,155,31035.123289528725,alpha,153,1
4,156,31444.312337348005,alpha,153,1
5,157,31823.46509870772,alpha,153,1
6,158,32174.124115929364,alpha,153,1
7,159,32496.52725971043,alpha,153,1
8,160,32790.87520686696,alpha,153,1
9,161,33057.37789339253,alpha,153,1
10,162,33296.385974941426,alpha,153,1
11,163,33508.46510332289,alpha,153,1
12,164,33694.43861434144,alpha,153,1
13,165,33855.403367805964,alpha,153,1
14,166,33992.72484818194,alpha,153,1
15,167,34108.01654437913,alpha,153,1
16,168,34203.10793663801,alpha,153,1
17,169,34280.00477312324,alpha,153,1
18,170,34340.844745008275,alpha,153,1
19,171,34387.85115247314,alpha,153,1
20,172,34423.28668883624,alpha,153,1
21,173,34449.409051024624,alpha,153,1
1,153,221.80451319900203,alpha,153,2
