steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17376.589711213186,alpha,132,1
2,133,16859.671738522837,alpha,132,1
3,134,16353.189208740474,alpha,132,1
4,135,15842.897638465092,alpha,132,1
5,136,15327.38293154899,alpha,132,1
6,137,14804.54865540158,alpha,132,1
7,138,14273.286914977154,alpha,132,1
8,139,13733.058905857682,alpha,132,1
9,140,13183.803106795363,alpha,132,1
10,141,12625.823381450344,alpha,132,1
11,142,12059.700590763576,alpha,132,1
12,143,11486.217866320585,alpha,132,1
13,144,10906.298246437142,alpha,132,1
14,145,10320.952843144758,alpha,132,1
15,146,9731.238211986805,alpha,132,1
16,147,9138.221799588438,alpha,132,1
17,148,8542.954492322802,alpha,132,1
18,149,7946.449387017818,alpha,132,1
19,150,7349.665976161843,alpha,132,1
20,151,6753.498997993116,alpha,132,1
21,152,6158.771254145915,alpha,132,1
1,132,-2199.1216120102936,alpha,132,2
2,133,-2173.152205266698,alpha,132,2
3,134,-1792.1545727992698,alpha,132,2
4,135,-1988.5914062688753,alpha,132,2
5,136,-1950.5178385023037,alpha,132,2
6,137,-1891.5085177861165,alpha,132,2
7,138,-1925.1992398460225,alpha,132,2
8,139,-1910.7766662661306,alpha,132,2
9,140,-1905.8687275856055,alpha,132,2
10,141,-1913.4460475157393,alpha,132,2
11,142,-1914.6456773540676,alpha,132,2
12,143,-1919.6973983446815,alpha,132,2
13,144,-1927.2006564269805,alpha,132,2
14,145,-1934.4257092619346,alpha,132,2
15,146,-1943.0003511988207,alpha,132,2
16,147,-1952.15705980053,alpha,132,2
17,148,-1961.4114661782187,alpha,132,2
18,149,-1970.8194415842363,alpha,132,2
19,150,-1980.048534823467,alpha,132,2
20,151,-1988.888355628309,alpha,132,2
21,152,-1997.2071203085916,alpha,132,2
1,132,-2806.379761586115,alpha,132,3
2,133,-2344.75360173861,alpha,132,3
3,134,-1004.2930464480578,alpha,132,3
4,135,-1350.4045330931312,alpha,132,3
5,136,-3173.3097284014184,alpha,132,3
6,137,-1966.0887353979888,alpha,132,3
7,138,-2220.234230763139,alpha,132,3
8,139,-2769.9403902757676,alpha,132,3
9,140,-2905.344142179756,alpha,132,3
10,141,-2570.801469502281,alpha,132,3
11,142,-3026.5288510128557,alpha,132,3
12,143,-3116.8410131399723,alpha,132,3
13,144,-3109.9290718762168,alpha,132,3
14,145,-3188.475782359088,alpha,132,3
15,146,-3408.5613362479708,alpha,132,3
16,147,-3411.102443718446,alpha,132,3
17,148,-3502.1163110987654,alpha,132,3
18,149,-3619.8875200859693,alpha,132,3
19,150,-3717.7925731338382,alpha,132,3
20,151,-3772.579457425645,alpha,132,3
21,152,-3885.1541476378443,alpha,132,3
1,139,16379.746923288443,alpha,139,1
2,140,15820.089001833152,alpha,139,1
3,141,15276.232571565262,alpha,139,1
4,142,14738.917071548354,alpha,139,1
5,143,14206.10774706632,alpha,139,1
6,144,13675.57140494683,alpha,139,1
7,145,13145.695568166673,alpha,139,1
8,146,12615.306934473703,alpha,139,1
9,147,12083.62045876946,alpha,139,1
10,148,11550.179030613706,alpha,139,1
11,149,11014.800167232937,alpha,139,1
12,150,10477.527296376687,alpha,139,1
13,151,9938.585700955155,alpha,139,1
14,152,9398.342977410553,alpha,139,1
15,153,8857.273908899835,alpha,139,1
16,154,8315.929632235597,alpha,139,1
17,155,7774.910943982124,alpha,139,1
18,156,7234.845551165343,alpha,139,1
19,157,6696.36903326139,alpha,139,1
20,158,6160.109248626453,alpha,139,1
21,159,5626.673892663031,alpha,139,1
1,139,-2835.0299145676277,alpha,139,2
2,140,-1996.8573944945078,alpha,139,2
3,141,-1875.4037029146116,alpha,139,2
4,142,-2141.131051446841,alpha,139,2
5,143,-1960.4642022991425,alpha,139,2
6,144,-1937.332344491394,alpha,139,2
7,145,-1956.628594400312,alpha,139,2
8,146,-1905.5272732074177,alpha,139,2
9,147,-1888.4453812760216,alpha,139,2
10,148,-1875.817678848935,alpha,139,2
11,149,-1854.0632611455535,alpha,139,2
12,150,-1840.5823226526727,alpha,139,2
13,151,-1828.6809176326083,alpha,139,2
14,152,-1817.054189364797,alpha,139,2
15,153,-1808.2904093912994,alpha,139,2
16,154,-1800.90938315639,alpha,139,2
17,155,-1794.68538051336,alpha,139,2
18,156,-1789.8231958761498,alpha,139,2
19,157,-1785.8516001220287,alpha,139,2
20,158,-1782.56968604352,alpha,139,2
21,159,-1779.810895479407,alpha,139,2
1,139,-6532.513440698976,alpha,139,3
2,140,344.6795774110233,alpha,139,3
3,141,-457.43503562248407,alpha,139,3
4,142,-2979.053544608725,alpha,139,3
5,143,-2916.328589663315,alpha,139,3
6,144,-883.6900830138293,alpha,139,3
7,145,-2769.1523008247423,alpha,139,3
8,146,-2929.8134541444724,alpha,139,3
9,147,-2347.9323536073516,alpha,139,3
10,148,-2465.9322272405807,alpha,139,3
11,149,-3203.842630307803,alpha,139,3
12,150,-2857.6205001084763,alpha,139,3
13,151,-2902.03366847868,alpha,139,3
14,152,-3200.941519705124,alpha,139,3
15,153,-3315.0403101026186,alpha,139,3
16,154,-3227.285659393314,alpha,139,3
17,155,-3436.84506260956,alpha,139,3
18,156,-3560.1773711804162,alpha,139,3
19,157,-3597.882193117026,alpha,139,3
20,158,-3682.684548779922,alpha,139,3
21,159,-3829.8217071166873,alpha,139,3
1,146,20634.22761288974,alpha,146,1
2,147,20473.384104232307,alpha,146,1
3,148,20279.689245210084,alpha,146,1
4,149,20090.513555804755,alpha,146,1
5,150,19900.358630461447,alpha,146,1
6,151,19708.496044744315,alpha,146,1
7,152,19513.694586155707,alpha,146,1
8,153,19314.945168071998,alpha,146,1
9,154,19111.446828142703,alpha,146,1
10,155,18902.64018836295,alpha,146,1
11,156,18688.209012809493,alpha,146,1
12,157,18468.067285439483,alpha,146,1
13,158,18242.33617664762,alpha,146,1
14,159,18011.315218115797,alpha,146,1
15,160,17775.450788582035,alpha,146,1
16,161,17535.304186666424,alpha,146,1
17,162,17291.52090035573,alpha,146,1
18,163,17044.80216210237,alpha,146,1
19,164,16795.879473423567,alpha,146,1
20,165,16545.492471452642,alpha,146,1
21,166,16294.37027419014,alpha,146,1
1,146,-1171.5285110795912,alpha,146,2
2,147,-1150.6183987784952,alpha,146,2
3,148,54.957347039837714,alpha,146,2
4,149,-509.8995869912851,alpha,146,2
5,150,-347.750960660258,alpha,146,2
6,151,-94.19608274832717,alpha,146,2
7,152,-131.00704122050638,alpha,146,2
8,153,-22.43070537757967,alpha,146,2
9,154,78.19443927640123,alpha,146,2
10,155,130.8758237092502,alpha,146,2
11,156,208.367573042628,alpha,146,2
12,157,277.88404553349346,alpha,146,2
13,158,337.5844971102365,alpha,146,2
14,159,399.23260746610913,alpha,146,2
15,160,456.58094344024767,alpha,146,2
16,161,510.45429489280787,alpha,146,2
17,162,562.923650823323,alpha,146,2
18,163,613.1148517549623,alpha,146,2
19,164,661.6201260004186,alpha,146,2
20,165,709.030359443987,alpha,146,2
21,166,755.4633918717759,alpha,146,2
1,146,-3227.406311126633,alpha,146,3
2,147,-1107.768509888625,alpha,146,3
3,148,660.501280399556,alpha,146,3
4,149,532.336139884439,alpha,146,3
5,150,-1999.2856460838957,alpha,146,3
6,151,188.56154401747517,alpha,146,3
7,152,-397.9215258306049,alpha,146,3
8,153,-812.1561339815617,alpha,146,3
9,154,-936.7378730025121,alpha,146,3
10,155,-375.88517599158695,alpha,146,3
11,156,-970.0638985464884,alpha,146,3
12,157,-913.6548999012248,alpha,146,3
13,158,-876.7490537461599,alpha,146,3
14,159,-910.5072594275352,alpha,146,3
15,160,-1117.6032033727552,alpha,146,3
16,161,-1037.3079703702188,alpha,146,3
17,162,-1111.2673980523286,alpha,146,3
18,163,-1185.1966088110366,alpha,146,3
19,164,-1236.7396729547272,alpha,146,3
20,165,-1245.4003254369236,alpha,146,3
21,166,-1323.126184624245,alpha,146,3
1,153,30071.94431128724,alpha,153,1
2,154,30526.41308244563,alpha,153,1
3,155,30868.810088087102,alpha,153,1
4,156,31155.973459300796,alpha,153,1
5,157,31386.225783101137,alpha,153,1
6,158,31565.022558063116,alpha,153,1
7,159,31697.503246569686,alpha,153,1
8,160,31789.1027104207,alpha,153,1
9,161,31845.300176232406,alpha,153,1
10,162,31871.48979906528,alpha,153,1
11,163,31872.865310490033,alpha,153,1
12,164,31854.33000663693,alpha,153,1
13,165,31820.429333308388,alpha,153,1
14,166,31775.304233828283,alpha,153,1
15,167,31722.662934527023,alpha,153,1
16,168,31665.768695236133,alpha,153,1
17,169,31607.441013557174,alpha,153,1
18,170,31550.06783223169,alpha,153,1
19,171,31495.62643022567,alpha,153,1
20,172,31445.710858884107,alpha,153,1
21,173,31401.563997042624,alpha,153,1
1,153,353.58961685470376,alpha,153,2
2,154,-470.8830281555274,alpha,153,2
3,155,1458.476731256047,alpha,153,2
4,156,605.0380862096217,alpha,153,2
5,157,650.9765588819573,alpha,153,2
6,158,999.9919695370522,alpha,153,2
7,159,866.2111565712403,alpha,153,2
8,160,932.0414607365328,alpha,153,2
9,161,1024.985341219483,alpha,153,2
10,162,1033.0320740491225,alpha,153,2
11,163,1085.7944927918484,alpha,153,2
12,164,1137.7228869569954,alpha,153,2
