steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17876.061919191914,alpha,132,1
2,133,17823.472980426508,alpha,132,1
3,134,17801.494115076097,alpha,132,1
4,135,17794.13190991298,alpha,132,1
5,136,17801.84955905875,alpha,132,1
6,137,17823.365095893278,alpha,132,1
7,138,17857.75649078456,alpha,132,1
8,139,17904.188531709613,alpha,132,1
9,140,17961.923621560338,alpha,132,1
10,141,18030.30308886672,alpha,132,1
11,142,18108.73509517875,alpha,132,1
12,143,18196.684324692833,alpha,132,1
13,144,18293.66355028233,alpha,132,1
14,145,18399.226681157623,alpha,132,1
15,146,18512.96302589797,alpha,132,1
16,147,18634.492547425678,alpha,132,1
17,148,18763.46192863164,alpha,132,1
18,149,18899.54130082726,alpha,132,1
19,150,19042.421514553553,alpha,132,1
20,151,19191.811854546617,alpha,132,1
21,152,19347.438118797065,alpha,132,1
1,132,-2608.531605671251,alpha,132,2
2,133,-2484.556804311256,alpha,132,2
3,134,-2124.456774352623,alpha,132,2
4,135,-2422.6799213256,alpha,132,2
5,136,-2368.0523740060926,alpha,132,2
6,137,-2351.509570895024,alpha,132,2
7,138,-2411.9184660692854,alpha,132,2
8,139,-2413.059746123151,alpha,132,2
9,140,-2430.6890841696068,alpha,132,2
10,141,-2455.262078472636,alpha,132,2
11,142,-2471.241181649658,alpha,132,2
12,143,-2491.2206993937425,alpha,132,2
13,144,-2511.564330527165,alpha,132,2
14,145,-2530.9744289798364,alpha,132,2
15,146,-2551.289174317897,alpha,132,2
16,147,-2571.6826662870963,alpha,132,2
17,148,-2592.136525452398,alpha,132,2
18,149,-2612.878161111409,alpha,132,2
19,150,-2633.7496215321407,alpha,132,2
20,151,-2654.770009256863,alpha,132,2
21,152,-2675.956475529968,alpha,132,2
1,132,-3420.9512244636226,alpha,132,3
2,133,-1930.065741878694,alpha,132,3
3,134,-259.135180782665,alpha,132,3
4,135,-790.6199250116824,alpha,132,3
5,136,-2446.095271131164,alpha,132,3
6,137,-845.8288039427748,alpha,132,3
7,138,-1134.2688486963552,alpha,132,3
8,139,-1601.9647582762154,alpha,132,3
9,140,-1620.5039574856064,alpha,132,3
10,141,-1162.2630709418272,alpha,132,3
11,142,-1599.8711374127406,alpha,132,3
12,143,-1599.2348965753936,alpha,132,3
13,144,-1527.1579692222476,alpha,132,3
14,145,-1530.5776617815281,alpha,132,3
15,146,-1704.3542594261462,alpha,132,3
16,147,-1636.194472524936,alpha,132,3
17,148,-1667.0339107638047,alpha,132,3
18,149,-1718.828430559337,alpha,132,3
19,150,-1762.8583340480927,alpha,132,3
20,151,-1750.0139656931397,alpha,132,3
21,152,-1800.2763389661395,alpha,132,3
1,139,16735.17714436236,alpha,139,1
2,140,16525.407790117475,alpha,139,1
3,141,16355.195893019976,alpha,139,1
4,142,16212.462157949281,alpha,139,1
5,143,16094.677188923502,alpha,139,1
6,144,15998.961471226987,alpha,139,1
7,145,15922.99261524582,alpha,139,1
8,146,15864.81518182919,alpha,139,1
9,147,15822.782371871559,alpha,139,1
10,148,15795.498764424427,alpha,139,1
11,149,15781.774869922545,alpha,139,1
12,150,15780.590123653088,alpha,139,1
13,151,15791.062838445414,alpha,139,1
14,152,15812.425786568338,alpha,139,1
15,153,15844.006346538927,alpha,139,1
16,154,15885.210350997328,alpha,139,1
17,155,15935.508935762666,alpha,139,1
18,156,15994.42782288024,alpha,139,1
19,157,16061.538578007974,alpha,139,1
20,158,16136.451469625426,alpha,139,1
21,159,16218.809628154218,alpha,139,1
1,139,-3060.9112604708,alpha,139,2
2,140,-2190.187116513611,alpha,139,2
3,141,-2116.798277759387,alpha,139,2
4,142,-2444.0377268712436,alpha,139,2
5,143,-2283.9250865094464,alpha,139,2
6,144,-2308.0955786830264,alpha,139,2
7,145,-2362.132175940118,alpha,139,2
8,146,-2342.9458319440237,alpha,139,2
9,147,-2360.74563960261,alpha,139,2
10,148,-2377.592566566381,alpha,139,2
11,149,-2384.4680461500393,alpha,139,2
12,150,-2398.314307967721,alpha,139,2
13,151,-2411.296919883349,alpha,139,2
14,152,-2423.293728832604,alpha,139,2
15,153,-2436.726124261705,alpha,139,2
16,154,-2450.132536713395,alpha,139,2
17,155,-2463.708476372378,alpha,139,2
18,156,-2477.765225739782,alpha,139,2
19,157,-2492.0458426878076,alpha,139,2
20,158,-2506.609878607769,alpha,139,2
21,159,-2521.486096210614,alpha,139,2
1,139,-5864.691267638988,alpha,139,3
2,140,1181.651191640637,alpha,139,3
3,141,564.8945685676313,alpha,139,3
4,142,-1736.3689234097224,alpha,139,3
5,143,-1649.2861226307564,alpha,139,3
6,144,607.5845735677835,alpha,139,3
7,145,-1127.2366517363225,alpha,139,3
8,146,-1212.3519480944042,alpha,139,3
9,147,-623.1494110039102,alpha,139,3
10,148,-522.3775830525042,alpha,139,3
11,149,-1213.664409144516,alpha,139,3
12,150,-835.1185884692968,alpha,139,3
13,151,-783.4663315648495,alpha,139,3
14,152,-957.9033701498734,alpha,139,3
15,153,-1055.4746743959795,alpha,139,3
16,154,-889.7000148493476,alpha,139,3
17,155,-1001.9036123228552,alpha,139,3
18,156,-1058.4019702998062,alpha,139,3
19,157,-1046.8927963078877,alpha,139,3
