steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17527.105717537837,alpha,132,1
2,133,17116.048634763087,alpha,132,1
3,134,16708.06789079024,alpha,132,1
4,135,16294.990710671138,alpha,132,1
5,136,15882.091851078721,alpha,132,1
6,137,15471.665466567187,alpha,132,1
7,138,15065.544249020657,alpha,132,1
8,139,14664.99439380207,alpha,132,1
9,140,14270.899626295763,alpha,132,1
10,141,13883.860778753697,alpha,132,1
11,142,13504.273256639535,alpha,132,1
12,143,13132.38303064077,alpha,132,1
13,144,12768.327640642945,alpha,132,1
14,145,12412.166147007614,alpha,132,1
15,146,12063.901014345229,alpha,132,1
16,147,11723.494095751192,alpha,132,1
17,148,11390.878304429332,alpha,132,1
18,149,11065.966132628855,alpha,132,1
19,150,10748.655865939754,alpha,132,1
20,151,10438.836112937879,alpha,132,1
21,152,10136.38910344735,alpha,132,1
1,132,-2242.633398106116,alpha,132,2
2,133,-2314.4487177160972,alpha,132,2
3,134,-1897.6949717082061,alpha,132,2
4,135,-2178.161344140073,alpha,132,2
5,136,-2140.5404980563544,alpha,132,2
6,137,-2105.703939425488,alpha,132,2
7,138,-2164.4753392041143,alpha,132,2
8,139,-2159.6032589869565,alpha,132,2
9,140,-2169.213083067084,alpha,132,2
10,141,-2188.163617703699,alpha,132,2
11,142,-2196.512206500991,alpha,132,2
12,143,-2209.1631153211147,alpha,132,2
13,144,-2222.138695093606,alpha,132,2
14,145,-2233.649406163879,alpha,132,2
15,146,-2246.0975792830204,alpha,132,2
16,147,-2258.4231785369775,alpha,132,2
17,148,-2270.624768379702,alpha,132,2
18,149,-2283.028651247044,alpha,132,2
19,150,-2295.423283932858,alpha,132,2
20,151,-2307.8576038891138,alpha,132,2
21,152,-2320.366438369262,alpha,132,2
1,132,-2969.524679599471,alpha,132,3
2,133,-1984.4591981528274,alpha,132,3
3,134,-64.93987599394723,alpha,132,3
4,135,-656.6807326596199,alpha,132,3
5,136,-2043.540407790455,alpha,132,3
6,137,-791.2107429708121,alpha,132,3
7,138,-818.3885040558644,alpha,132,3
8,139,-1299.6567954900029,alpha,132,3
9,140,-1290.635421501348,alpha,132,3
10,141,-905.3290467850438,alpha,132,3
11,142,-1179.224442540969,alpha,132,3
12,143,-1231.2141783539919,alpha,132,3
13,144,-1132.5272790495965,alpha,132,3
14,145,-1113.7447439176813,alpha,132,3
15,146,-1228.9653599977964,alpha,132,3
16,147,-1186.6016527599804,alpha,132,3
17,148,-1175.1593759945936,alpha,132,3
18,149,-1206.1811892534224,alpha,132,3
19,150,-1229.9279603724226,alpha,132,3
20,151,-1212.0669313760072,alpha,132,3
21,152,-1229.8639346559721,alpha,132,3
1,139,16583.601866544006,alpha,139,1
2,140,16192.644938198966,alpha,139,1
3,141,15814.160212278723,alpha,139,1
4,142,15440.595423866233,alpha,139,1
5,143,15073.625895178302,alpha,139,1
6,144,14713.587445255362,alpha,139,1
7,145,14360.778957862589,alpha,139,1
8,146,14015.364947702405,alpha,139,1
9,147,13677.425945268345,alpha,139,1
10,148,13346.980920741858,alpha,139,1
11,149,13024.00514754163,alpha,139,1
12,150,12708.442938876975,alpha,139,1
13,151,12400.216882652687,alpha,139,1
14,152,12099.23451548324,alpha,139,1
15,153,11805.393144768246,alpha,139,1
16,154,11518.583329175079,alpha,139,1
17,155,11238.691387576713,alpha,139,1
18,156,10965.601204450351,alpha,139,1
19,157,10699.195525873685,alpha,139,1
