steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17873.663775464505,alpha,132,1
2,133,17688.520621609005,alpha,132,1
3,134,17461.549781562753,alpha,132,1
4,135,17180.33900643714,alpha,132,1
5,136,16858.151143115636,alpha,132,1
6,137,16503.247068480927,alpha,132,1
7,138,16123.20193511596,alpha,132,1
8,139,15724.384685693583,alpha,132,1
9,140,15312.150473784437,alpha,132,1
10,141,14890.947131387204,alpha,132,1
11,142,14464.435036669793,alpha,132,1
12,143,14035.599069460646,alpha,132,1
13,144,13606.851600046391,alpha,132,1
14,145,13180.124738506534,alpha,132,1
15,146,12756.951505589555,alpha,132,1
16,147,12338.536205222632,alpha,132,1
17,148,11925.81467641129,alpha,132,1
18,149,11519.505310923658,alpha,132,1
19,150,11120.151814431512,alpha,132,1
20,151,10728.158703474273,alpha,132,1
21,152,10343.820497225443,alpha,132,1
1,132,-2327.7698636175865,alpha,132,2
2,133,-2430.7331672584087,alpha,132,2
3,134,-1987.4694066057577,alpha,132,2
4,135,-2313.623002508497,alpha,132,2
5,136,-2262.8026003429977,alpha,132,2
6,137,-2255.049158910276,alpha,132,2
7,138,-2321.9601465398077,alpha,132,2
8,139,-2334.5654128487304,alpha,132,2
9,140,-2363.859289116933,alpha,132,2
10,141,-2400.8265224821134,alpha,132,2
11,142,-2430.3124176454808,alpha,132,2
12,143,-2464.079027257956,alpha,132,2
13,144,-2497.9727918423187,alpha,132,2
14,145,-2530.7521493257677,alpha,132,2
15,146,-2563.7662964294373,alpha,132,2
16,147,-2595.971784325112,alpha,132,2
17,148,-2627.2286905631295,alpha,132,2
18,149,-2657.562356359956,alpha,132,2
19,150,-2686.7211184443686,alpha,132,2
20,151,-2714.6588089134793,alpha,132,2
21,152,-2741.342634726104,alpha,132,2
1,132,-3779.12339790829,alpha,132,3
2,133,-2468.465482979238,alpha,132,3
3,134,-429.44180641014736,alpha,132,3
4,135,-1517.6328011988435,alpha,132,3
5,136,-3061.396716008384,alpha,132,3
6,137,-1685.8872843552263,alpha,132,3
7,138,-1789.8453772724615,alpha,132,3
8,139,-2611.754452747774,alpha,132,3
9,140,-2556.1460815241853,alpha,132,3
10,141,-2183.6895908700526,alpha,132,3
11,142,-2642.449528730277,alpha,132,3
12,143,-2790.443456925953,alpha,132,3
13,144,-2676.231960648428,alpha,132,3
14,145,-2768.488162470133,alpha,132,3
15,146,-2979.9928698533813,alpha,132,3
16,147,-2972.3508040561474,alpha,132,3
17,148,-3012.776427209087,alpha,132,3
18,149,-3133.9587573132585,alpha,132,3
19,150,-3207.8412921631634,alpha,132,3
20,151,-3238.2006465333316,alpha,132,3
21,152,-3322.3669760427247,alpha,132,3
1,139,17006.548898363726,alpha,139,1
2,140,16891.171308771718,alpha,139,1
3,141,16720.939719623588,alpha,139,1
4,142,16487.460270348616,alpha,139,1
5,143,16202.506626843768,alpha,139,1
6,144,15874.963411773566,alpha,139,1
7,145,15513.242391919299,alpha,139,1
8,146,15124.806517517462,alpha,139,1
9,147,14716.17233354278,alpha,139,1
10,148,14292.930173752176,alpha,139,1
11,149,13859.805877115346,alpha,139,1
12,150,13420.74052948377,alpha,139,1
13,151,12978.977976322916,alpha,139,1
14,152,12537.153099399435,alpha,139,1
15,153,12097.376629943303,alpha,139,1
16,154,11661.314022041259,alpha,139,1
17,155,11230.257077925795,alpha,139,1
18,156,10805.1877870063,alpha,139,1
19,157,10386.83434472691,alpha,139,1
20,158,9975.719640422718,alpha,139,1
21,159,9572.202701917839,alpha,139,1
1,139,-2843.508825498172,alpha,139,2
2,140,-2245.1559817620328,alpha,139,2
3,141,-2220.027252590181,alpha,139,2
4,142,-2554.191431708009,alpha,139,2
5,143,-2491.678785203915,alpha,139,2
6,144,-2561.479237512038,alpha,139,2
7,145,-2661.252690143174,alpha,139,2
8,146,-2699.8453843675848,alpha,139,2
9,147,-2765.0394444841854,alpha,139,2
10,148,-2829.125730409827,alpha,139,2
11,149,-2883.039863262765,alpha,139,2
12,150,-2940.771755989942,alpha,139,2
13,151,-2995.6841634279385,alpha,139,2
14,152,-3047.70362200207,alpha,139,2
15,153,-3098.5697999973077,alpha,139,2
16,154,-3147.0952996979086,alpha,139,2
17,155,-3193.431076464187,alpha,139,2
18,156,-3237.832360502624,alpha,139,2
19,157,-3280.1466986548157,alpha,139,2
20,158,-3320.507247208093,alpha,139,2
21,159,-3359.031461183492,alpha,139,2
1,139,-6342.01082604983,alpha,139,3
2,140,744.387814187322,alpha,139,3
3,141,-204.24178618443784,alpha,139,3
4,142,-2249.828043569284,alpha,139,3
5,143,-2559.7640424926212,alpha,139,3
6,144,-364.8103800063018,alpha,139,3
7,145,-2014.6939174646159,alpha,139,3
8,146,-2286.529041441243,alpha,139,3
9,147,-1766.2976076481082,alpha,139,3
10,148,-1683.6008242489606,alpha,139,3
11,149,-2405.221276836721,alpha,139,3
12,150,-2141.182645899722,alpha,139,3
13,151,-2088.2433955879333,alpha,139,3
14,152,-2311.535859520007,alpha,139,3
15,153,-2452.3682278254946,alpha,139,3
16,154,-2340.658811084184,alpha,139,3
17,155,-2465.6514259368632,alpha,139,3
18,156,-2575.612057517619,alpha,139,3
19,157,-2598.0353129268424,alpha,139,3
20,158,-2627.6800510733083,alpha,139,3
21,159,-2731.9627252524024,alpha,139,3
1,146,20926.27413924239,alpha,146,1
2,147,21034.07619487333,alpha,146,1
3,148,21096.199114279505,alpha,146,1
4,149,21142.406236354094,alpha,146,1
5,150,21165.23050980145,alpha,146,1
6,151,21164.461034317887,alpha,146,1
7,152,21140.783264561378,alpha,146,1
8,153,21095.81995200832,alpha,146,1
9,154,21031.657959938922,alpha,146,1
10,155,20950.59784834822,alpha,146,1
11,156,20854.984763271194,alpha,146,1
12,157,20747.101851669897,alpha,146,1
13,158,20629.10487437891,alpha,146,1
14,159,20502.984794050062,alpha,146,1
15,160,20370.549264695226,alpha,146,1
16,161,20233.416834175183,alpha,146,1
17,162,20093.019583492234,alpha,146,1
18,163,19950.611223482912,alpha,146,1
19,164,19807.278559090948,alpha,146,1
20,165,19663.954850611997,alpha,146,1
21,166,19521.434038452313,alpha,146,1
1,146,-1080.7103780788393,alpha,146,2
2,147,-1274.7600766339656,alpha,146,2
3,148,-139.0376292045794,alpha,146,2
4,149,-701.7120012059868,alpha,146,2
5,150,-614.6293330203671,alpha,146,2
6,151,-419.1053742090794,alpha,146,2
7,152,-481.4982030352048,alpha,146,2
8,153,-418.9298547052276,alpha,146,2
9,154,-362.61659269255506,alpha,146,2
10,155,-341.8156862710439,alpha,146,2
11,156,-302.97088728759263,alpha,146,2
12,157,-269.19373634228214,alpha,146,2
13,158,-242.02652811723328,alpha,146,2
14,159,-213.5573494625869,alpha,146,2
15,160,-187.66137743575928,alpha,146,2
16,161,-163.8637465238644,alpha,146,2
17,162,-140.8691413097731,alpha,146,2
18,163,-119.13667819855527,alpha,146,2
19,164,-98.3271247021471,alpha,146,2
20,165,-78.10395924602153,alpha,146,2
21,166,-58.39149152811342,alpha,146,2
1,146,-3815.8259084203273,alpha,146,3
2,147,-139.97875669053246,alpha,146,3
3,148,-74.09174282054119,alpha,146,3
4,149,1397.8260379967269,alpha,146,3
5,150,-1797.513005652354,alpha,146,3
6,151,281.82949040733,alpha,146,3
7,152,-11.249002009717515,alpha,146,3
8,153,-242.49598507683004,alpha,146,3
9,154,-660.0868090034655,alpha,146,3
10,155,-2.742687409703649,alpha,146,3
11,156,-388.58852835977086,alpha,146,3
12,157,-434.3623206887223,alpha,146,3
13,158,-419.88276841256265,alpha,146,3
14,159,-341.643926189814,alpha,146,3
15,160,-511.50448498572223,alpha,146,3
16,161,-481.4818653973489,alpha,146,3
17,162,-490.97129653644515,alpha,146,3
18,163,-521.5613269485311,alpha,146,3
19,164,-570.6390694444926,alpha,146,3
20,165,-564.193872637421,alpha,146,3
21,166,-593.0047172703617,alpha,146,3
1,153,29919.2894486401,alpha,153,1
2,154,30284.86581096016,alpha,153,1
3,155,30545.204966400775,alpha,153,1
4,156,30770.807014284055,alpha,153,1
5,157,30959.683393510215,alpha,153,1
6,158,31117.97775585531,alpha,153,1
7,159,31250.388248681964,alpha,153,1
8,160,31361.27231674972,alpha,153,1
9,161,31454.512290804883,alpha,153,1
10,162,31533.543327668845,alpha,153,1
11,163,31601.373304247143,alpha,153,1
12,164,31660.611022662673,alpha,153,1
13,165,31713.49790105355,alpha,153,1
14,166,31761.94151522221,alpha,153,1
15,167,31807.549527403673,alpha,153,1
16,168,31851.66295487406,alpha,153,1
17,169,31895.38802958766,alpha,153,1
18,170,31939.626140374632,alpha,153,1
19,171,31985.10153767842,alpha,153,1
20,172,32032.38662729892,alpha,153,1
21,173,32081.924791681922,alpha,153,1
1,153,327.55616942468214,alpha,153,2
2,154,-411.54305984477105,alpha,153,2
3,155,1197.828807413015,alpha,153,2
4,156,500.92447896398335,alpha,153,2
5,157,484.5049446267094,alpha,153,2
6,158,759.078467411834,alpha,153,2
7,159,652.6053319082612,alpha,153,2
8,160,693.5081311603908,alpha,153,2
9,161,756.7280292920586,alpha,153,2
10,162,764.079051342902,alpha,153,2
11,163,797.5062999972788,alpha,153,2
12,164,831.7403487950623,alpha,153,2
13,165,857.6170733132449,alpha,153,2
14,166,888.246241771526,alpha,153,2
15,167,918.6722123729733,alpha,153,2
16,168,948.1513408970368,alpha,153,2
17,169,978.7407063368219,alpha,153,2
18,170,1009.5629666005752,alpha,153,2
19,171,1040.6384290249853,alpha,153,2
20,172,1072.2884153327177,alpha,153,2
21,173,1104.3622156382262,alpha,153,2
1,153,-4556.44458886804,alpha,153,3
2,154,-751.6897075320157,alpha,153,3
3,155,376.0425312834286,alpha,153,3
4,156,2027.608399433333,alpha,153,3
5,157,-2405.268791520166,alpha,153,3
6,158,544.9685448036289,alpha,153,3
7,159,313.55354309420727,alpha,153,3
8,160,-122.41341820451635,alpha,153,3
9,161,-685.0515276996011,alpha,153,3
10,162,333.4268885127931,alpha,153,3
11,163,-159.60956940781216,alpha,153,3
12,164,-260.0436008016968,alpha,153,3
13,165,-185.9315695400128,alpha,153,3
14,166,-12.401658634484193,alpha,153,3
15,167,-240.36868236989721,alpha,153,3
16,168,-185.80895779593448,alpha,153,3
17,169,-149.49431514478965,alpha,153,3
18,170,-160.2603368907894,alpha,153,3
19,171,-216.59788141334138,alpha,153,3
20,172,-178.96133293762796,alpha,153,3
21,173,-186.16989950284915,alpha,153,3
1,160,42800.687204656904,alpha,160,1
2,161,43605.85961379304,alpha,160,1
3,162,44412.22486154156,alpha,160,1
4,163,45146.34740808339,alpha,160,1
5,164,45821.79948580898,alpha,160,1
6,165,46440.482762336374,alpha,160,1
7,166,47007.03363422791,alpha,160,1
8,167,47526.154851159685,alpha,160,1
9,168,48002.70268719114,alpha,160,1
10,169,48441.45499709055,alpha,160,1
11,170,48847.000232588885,alpha,160,1
12,171,49223.65950506764,alpha,160,1
13,172,49575.44065101215,alpha,160,1
14,173,49906.014146507354,alpha,160,1
15,174,50218.70496383181,alpha,160,1
16,175,50516.495799921104,alpha,160,1
17,176,50802.03830835228,alpha,160,1
18,177,51077.66979752082,alpha,160,1
19,178,51345.43347705957,alpha,160,1
20,179,51607.10079907245,alpha,160,1
21,180,51864.19479567508,alpha,160,1
1,160,-4153.180988808638,alpha,160,2
2,161,-1352.6825371675477,alpha,160,2
3,162,-2468.187518201752,alpha,160,2
4,163,-3198.121455952908,alpha,160,2
5,164,-2520.003089537371,alpha,160,2
6,165,-2904.446547037048,alpha,160,2
7,166,-3128.5091020364016,alpha,160,2
8,167,-3011.100498811934,alpha,160,2
9,168,-3173.954329627186,alpha,160,2
10,169,-3282.3249050966288,alpha,160,2
11,170,-3308.728214578423,alpha,160,2
12,171,-3408.5042167349884,alpha,160,2
13,172,-3491.168455501471,alpha,160,2
14,173,-3553.9675310229622,alpha,160,2
15,174,-3635.6392734661877,alpha,160,2
16,175,-3711.5766039107084,alpha,160,2
17,176,-3782.1495957820734,alpha,160,2
18,177,-3856.8235882764866,alpha,160,2
19,178,-3928.8830870097954,alpha,160,2
20,179,-3998.635772265302,alpha,160,2
21,180,-4068.333855083165,alpha,160,2
1,160,-4742.319352638642,alpha,160,3
2,161,-1569.8471596214176,alpha,160,3
3,162,1294.0701739802107,alpha,160,3
4,163,-4908.69740123553,alpha,160,3
5,164,-1878.8252625898695,alpha,160,3
6,165,-1123.1714180680383,alpha,160,3
7,166,-2605.7588247678386,alpha,160,3
8,167,-3057.043681969607,alpha,160,3
9,168,-1745.2393705788554,alpha,160,3
10,169,-2557.684864475951,alpha,160,3
11,170,-2882.559316026048,alpha,160,3
12,171,-2544.539661925174,alpha,160,3
13,172,-2576.83040318021,alpha,160,3
14,173,-2964.9054715654756,alpha,160,3
15,174,-2856.5399199409103,alpha,160,3
16,175,-2854.7471887980746,alpha,160,3
17,176,-3032.220063509815,alpha,160,3
18,177,-3093.9891665185096,alpha,160,3
19,178,-3081.0250861950108,alpha,160,3
20,179,-3185.069349056933,alpha,160,3
21,180,-3260.793804427558,alpha,160,3
1,167,47191.551644342166,alpha,167,1
2,168,47501.232287001054,alpha,167,1
3,169,48477.159518575565,alpha,167,1
4,170,49221.98000724395,alpha,167,1
5,171,49943.49142951162,alpha,167,1
6,172,50598.32683636819,alpha,167,1
7,173,51201.7099978832,alpha,167,1
8,174,51755.994295566416,alpha,167,1
9,175,52266.661414648785,alpha,167,1
10,176,52738.415831474274,alpha,167,1
11,177,53175.92069301322,alpha,167,1
12,178,53583.52961081814,alpha,167,1
13,179,53965.28936133917,alpha,167,1
14,180,54324.90925510094,alpha,167,1
15,181,54665.75816272951,alpha,167,1
16,182,54990.869073146925,alpha,167,1
17,183,55302.95137847013,alpha,167,1
18,184,55604.40765558613,alpha,167,1
19,185,55897.3533706461,alpha,167,1
20,186,56183.63818034547,alpha,167,1
21,187,56464.86790322117,alpha,167,1
1,167,-3538.840437765455,alpha,167,2
2,168,-2187.4186067339797,alpha,167,2
3,169,-6480.506908172083,alpha,167,2
4,170,-4513.566623500696,alpha,167,2
5,171,-4879.114237721774,alpha,167,2
6,172,-5930.059857603177,alpha,167,2
7,173,-5547.791160510484,alpha,167,2
8,174,-5926.381464655362,alpha,167,2
9,175,-6283.356352615847,alpha,167,2
10,176,-6346.981814325686,alpha,167,2
11,177,-6620.068848407849,alpha,167,2
12,178,-6841.795144847239,alpha,167,2
13,179,-7009.893367307735,alpha,167,2
14,180,-7227.512052696969,alpha,167,2
15,181,-7420.8141362328915,alpha,167,2
16,182,-7604.372493360228,alpha,167,2
17,183,-7796.383619687484,alpha,167,2
18,184,-7978.207633859605,alpha,167,2
19,185,-8156.680717212781,alpha,167,2
20,186,-8334.234241039376,alpha,167,2
21,187,-8506.688959448062,alpha,167,2
1,167,2465.463749481278,alpha,167,3
2,168,761.2767704335129,alpha,167,3
3,169,-3637.5073072240666,alpha,167,3
4,170,-5844.456949482856,alpha,167,3
5,171,940.9618357899744,alpha,167,3
6,172,-3674.3226935787443,alpha,167,3
7,173,-3854.509697949552,alpha,167,3
8,174,-2677.5444243954607,alpha,167,3
9,175,-2488.5723796103484,alpha,167,3
10,176,-4046.238490286989,alpha,167,3
11,177,-3255.387497597214,alpha,167,3
12,178,-3289.7353877784954,alpha,167,3
13,179,-3694.9734558668424,alpha,167,3
14,180,-3868.823084875992,alpha,167,3
15,181,-3675.660842465217,alpha,167,3
16,182,-3947.0969223371467,alpha,167,3
17,183,-4079.850171795284,alpha,167,3
18,184,-4116.570387315045,alpha,167,3
19,185,-4197.408240496776,alpha,167,3
20,186,-4355.7287384291685,alpha,167,3
21,187,-4422.274946025653,alpha,167,3
1,174,61540.47729032008,alpha,174,1
2,175,62622.60028479638,alpha,174,1
3,176,63810.51477729875,alpha,174,1
4,177,64853.39148998063,alpha,174,1
5,178,65831.6741538985,alpha,174,1
6,179,66733.66095018406,alpha,174,1
7,180,67572.9674872125,alpha,174,1
8,181,68355.6826078911,alpha,174,1
9,182,69089.3866739199,alpha,174,1
10,183,69780.57719610941,alpha,174,1
11,184,70435.35243356283,alpha,174,1
12,185,71059.21381392026,alpha,174,1
13,186,71657.13110328894,alpha,174,1
14,187,72233.54705898864,alpha,174,1
15,188,72792.40759639381,alpha,174,1
16,189,73337.19064225629,alpha,174,1
17,190,73870.93893027455,alpha,174,1
18,191,74396.29359787621,alpha,174,1
19,192,74915.52817729287,alpha,174,1
20,193,75430.58212241426,alpha,174,1
21,194,75943.09338038514,alpha,174,1
1,174,-4186.3811363769455,alpha,174,2
2,175,-1450.5590315783452,alpha,174,2
3,176,-2774.4435633911708,alpha,174,2
4,177,-3206.13338655928,alpha,174,2
5,178,-2710.9586463744254,alpha,174,2
6,179,-3327.412085853249,alpha,174,2
7,180,-3370.2671380773722,alpha,174,2
8,181,-3423.5242891017015,alpha,174,2
9,182,-3684.8356193528703,alpha,174,2
10,183,-3755.18249185136,alpha,174,2
11,184,-3888.347366819718,alpha,174,2
12,185,-4035.8730665298353,alpha,174,2
13,186,-4136.356031491536,alpha,174,2
14,187,-4261.348791679462,alpha,174,2
15,188,-4376.891782852641,alpha,174,2
16,189,-4482.833700554074,alpha,174,2
17,190,-4593.589745742487,alpha,174,2
18,191,-4697.672152266544,alpha,174,2
19,192,-4799.219146565316,alpha,174,2
20,193,-4899.827781580956,alpha,174,2
21,194,-4996.8546913183045,alpha,174,2
1,174,-5049.775517692586,alpha,174,3
2,175,1386.65711527031,alpha,174,3
3,176,-580.8128197436863,alpha,174,3
4,177,-2770.271448438213,alpha,174,3
5,178,47.031906395327496,alpha,174,3
6,179,-1252.3107972767802,alpha,174,3
7,180,-1631.5724436967384,alpha,174,3
8,181,-795.9168463947644,alpha,174,3
9,182,-1352.7324967094437,alpha,174,3
10,183,-1382.3630341811486,alpha,174,3
11,184,-1150.7655845460677,alpha,174,3
12,185,-1411.233495197478,alpha,174,3
13,186,-1380.1546716277244,alpha,174,3
14,187,-1344.5296723692882,alpha,174,3
15,188,-1465.687123956266,alpha,174,3
16,189,-1455.786753208492,alpha,174,3
17,190,-1471.9687274878888,alpha,174,3
18,191,-1535.8888220922408,alpha,174,3
19,192,-1546.5076673537087,alpha,174,3
20,193,-1575.449235996478,alpha,174,3
21,194,-1616.6892965532825,alpha,174,3
1,181,61279.99492899672,alpha,181,1
2,182,62094.48469027081,alpha,181,1
3,183,62790.79795359758,alpha,181,1
4,184,63492.439913996925,alpha,181,1
5,185,64160.14659499058,alpha,181,1
6,186,64801.85814155771,alpha,181,1
7,187,65415.372797482894,alpha,181,1
8,188,66002.7155453948,alpha,181,1
9,189,66565.68322843159,alpha,181,1
10,190,67106.61370213532,alpha,181,1
11,191,67627.9025230738,alpha,181,1
12,192,68131.94990137278,alpha,181,1
13,193,68621.0588636582,alpha,181,1
14,194,69097.39147078447,alpha,181,1
15,195,69562.94020800157,alpha,181,1
16,196,70019.51605316292,alpha,181,1
17,197,70468.74596401158,alpha,181,1
18,198,70912.0769792345,alpha,181,1
19,199,71350.78440232272,alpha,181,1
20,200,71785.98247629552,alpha,181,1
21,201,72218.63640973548,alpha,181,1
1,181,-3068.9078116552064,alpha,181,2
2,182,-1967.5601103403424,alpha,181,2
3,183,-1328.0565106684758,alpha,181,2
4,184,-2479.3946029429135,alpha,181,2
5,185,-1949.7305316514435,alpha,181,2
6,186,-2140.7122761542955,alpha,181,2
7,187,-2322.3690576511217,alpha,181,2
8,188,-2240.783334699445,alpha,181,2
9,189,-2366.0740252978667,alpha,181,2
10,190,-2408.7198830734987,alpha,181,2
11,191,-2438.215045853507,alpha,181,2
12,192,-2503.6947320365725,alpha,181,2
13,193,-2541.137992837079,alpha,181,2
14,194,-2586.2912995703664,alpha,181,2
15,195,-2633.645722939388,alpha,181,2
16,196,-2675.3595041793433,alpha,181,2
17,197,-2720.188809028281,alpha,181,2
18,198,-2763.999341893742,alpha,181,2
19,199,-2807.1377101466187,alpha,181,2
20,200,-2850.843929074049,alpha,181,2
21,201,-2893.9558671810137,alpha,181,2
1,181,-5425.650319619244,alpha,181,3
2,182,3697.468859794468,alpha,181,3
3,183,211.2860618351715,alpha,181,3
4,184,361.24510016122986,alpha,181,3
5,185,845.0894977916914,alpha,181,3
6,186,1232.3039110161872,alpha,181,3
7,187,412.1643657352024,alpha,181,3
8,188,1097.9139526507597,alpha,181,3
9,189,963.3431773155562,alpha,181,3
10,190,879.5213562676663,alpha,181,3
