steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17409.06234403329,alpha,132,1
2,133,16897.696692232897,alpha,132,1
3,134,16385.90494458437,alpha,132,1
4,135,15865.137633667724,alpha,132,1
5,136,15339.072784947048,alpha,132,1
6,137,14809.42745441334,alpha,132,1
7,138,14277.93166025831,alpha,132,1
8,139,13746.084464963566,alpha,132,1
9,140,13215.21126840563,alpha,132,1
10,141,12686.47738643549,alpha,132,1
11,142,12160.905430209801,alpha,132,1
12,143,11639.390197840028,alpha,132,1
13,144,11122.712140299518,alpha,132,1
14,145,10611.54943590235,alpha,132,1
15,146,10106.488830198876,alpha,132,1
16,147,9608.035364910998,alpha,132,1
17,148,9116.62110932307,alpha,132,1
18,149,8632.61299568407,alpha,132,1
19,150,8156.319849891439,alpha,132,1
20,151,7687.998699436988,alpha,132,1
21,152,7227.860432256983,alpha,132,1
1,132,-2528.856002869588,alpha,132,2
2,133,-2428.656377994876,alpha,132,2
3,134,-2055.7016262124116,alpha,132,2
4,135,-2400.033356169577,alpha,132,2
5,136,-2337.4514973331175,alpha,132,2
6,137,-2333.9666167534515,alpha,132,2
7,138,-2417.2227925678158,alpha,132,2
8,139,-2423.8534103895963,alpha,132,2
9,140,-2457.4011984271915,alpha,132,2
10,141,-2497.1837886841354,alpha,132,2
11,142,-2525.2460759638707,alpha,132,2
12,143,-2560.2197768628153,alpha,132,2
13,144,-2594.7647194093315,alpha,132,2
14,145,-2628.0641858071476,alpha,132,2
15,146,-2662.8655391596094,alpha,132,2
16,147,-2697.4542037366173,alpha,132,2
17,148,-2732.083145039031,alpha,132,2
18,149,-2767.040048871567,alpha,132,2
19,150,-2801.984648676725,alpha,132,2
20,151,-2837.001996411083,alpha,132,2
21,152,-2872.0837567778376,alpha,132,2
1,132,-3264.0617867876163,alpha,132,3
2,133,-1746.2004979197545,alpha,132,3
3,134,-270.15433357700294,alpha,132,3
4,135,-455.175001269582,alpha,132,3
5,136,-2272.7372096824147,alpha,132,3
6,137,-605.7565370184507,alpha,132,3
7,138,-876.947228952989,alpha,132,3
8,139,-1214.4576361880354,alpha,132,3
9,140,-1326.438784296688,alpha,132,3
10,141,-770.2498568225565,alpha,132,3
11,142,-1170.244493709407,alpha,132,3
12,143,-1145.36467823159,alpha,132,3
13,144,-1065.794026710399,alpha,132,3
14,145,-1003.805195250498,alpha,132,3
15,146,-1156.839137978177,alpha,132,3
16,147,-1070.5958871782095,alpha,132,3
17,148,-1063.3252557697747,alpha,132,3
18,149,-1083.1612602203459,alpha,132,3
