steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17887.320356384393,alpha,132,1
2,133,17840.49158236375,alpha,132,1
3,134,17821.347785703656,alpha,132,1
4,135,17814.61626717407,alpha,132,1
5,136,17821.410159092557,alpha,132,1
6,137,17840.94509418766,alpha,132,1
7,138,17872.675923606013,alpha,132,1
8,139,17916.047509472548,alpha,132,1
9,140,17970.52416964936,alpha,132,1
10,141,18035.586465678192,alpha,132,1
11,142,18110.7317158286,alpha,132,1
12,143,18195.473991541592,alpha,132,1
13,144,18289.344101217084,alpha,132,1
14,145,18391.889510209807,alpha,132,1
15,146,18502.67421017123,alpha,132,1
16,147,18621.278542820095,alpha,132,1
17,148,18747.29898365329,alpha,132,1
18,149,18880.347890578905,alpha,132,1
19,150,19020.05322206554,alpha,132,1
20,151,19166.05822902653,alpha,132,1
21,152,19318.021124308016,alpha,132,1
1,132,-2539.557458075517,alpha,132,2
2,133,-2320.9407629170755,alpha,132,2
3,134,-1975.4911722267602,alpha,132,2
4,135,-2282.284272605273,alpha,132,2
5,136,-2173.7829673067463,alpha,132,2
6,137,-2153.811474802801,alpha,132,2
7,138,-2202.0308952548858,alpha,132,2
8,139,-2175.7248082967108,alpha,132,2
9,140,-2181.3039854659028,alpha,132,2
10,141,-2188.61924445159,alpha,132,2
11,142,-2185.6680442055604,alpha,132,2
12,143,-2190.256008921586,alpha,132,2
13,144,-2193.63586764902,alpha,132,2
14,145,-2196.3901829607385,alpha,132,2
15,146,-2200.828450607527,alpha,132,2
16,147,-2205.1415160559463,alpha,132,2
17,148,-2209.8680377359897,alpha,132,2
18,149,-2215.1816625567126,alpha,132,2
19,150,-2220.7790487146067,alpha,132,2
20,151,-2226.803434632483,alpha,132,2
21,152,-2233.2321221076063,alpha,132,2
1,132,-3087.8271700147325,alpha,132,3
2,133,-1565.1356538516147,alpha,132,3
3,134,-63.1289746710836,alpha,132,3
4,135,-352.1975466396789,alpha,132,3
5,136,-2131.896319659373,alpha,132,3
6,137,-328.20681299342596,alpha,132,3
7,138,-722.7783414633022,alpha,132,3
8,139,-1081.4276153588553,alpha,132,3
9,140,-1098.561983544102,alpha,132,3
10,141,-537.4639571537509,alpha,132,3
11,142,-1027.9085984531966,alpha,132,3
12,143,-930.2891348130606,alpha,132,3
13,144,-835.6941315126778,alpha,132,3
14,145,-800.0161358275736,alpha,132,3
15,146,-964.8480444073311,alpha,132,3
16,147,-827.1658655870224,alpha,132,3
17,148,-845.5889439602897,alpha,132,3
18,149,-864.5432868323487,alpha,132,3
19,150,-878.3733974368652,alpha,132,3
20,151,-826.2747035270049,alpha,132,3
21,152,-861.0998736482061,alpha,132,3
1,139,16761.27107797272,alpha,139,1
2,140,16547.013278679195,alpha,139,1
3,141,16352.355639244033,alpha,139,1
4,142,16168.734284445642,alpha,139,1
5,143,15996.956854100714,alpha,139,1
6,144,15836.834001969415,alpha,139,1
7,145,15688.24775621465,alpha,139,1
8,146,15551.045675935795,alpha,139,1
9,147,15425.055201827956,alpha,139,1
10,148,15310.085370304703,alpha,139,1
11,149,15205.929546558413,alpha,139,1
12,150,15112.367795538743,alpha,139,1
13,151,15029.16905176495,alpha,139,1
14,152,14956.093089334787,alpha,139,1
15,153,14892.892308657796,alpha,139,1
16,154,14839.313353749587,alpha,139,1
17,155,14795.098573136998,alpha,139,1
18,156,14759.987336509254,alpha,139,1
19,157,14733.717218412177,alpha,139,1
20,158,14716.025059496198,alpha,139,1
21,159,14706.647915093281,alpha,139,1
1,139,-2867.278156322708,alpha,139,2
2,140,-2036.8777692089511,alpha,139,2
3,141,-1973.833395775635,alpha,139,2
4,142,-2285.534209431308,alpha,139,2
5,143,-2101.262494516887,alpha,139,2
6,144,-2132.1932159709786,alpha,139,2
7,145,-2174.919090746281,alpha,139,2
8,146,-2141.517856445873,alpha,139,2
9,147,-2155.5277201662366,alpha,139,2
10,148,-2161.631994236909,alpha,139,2
11,149,-2158.037369340248,alpha,139,2
12,150,-2163.4743360827924,alpha,139,2
13,151,-2165.934212069701,alpha,139,2
14,152,-2167.607087759876,alpha,139,2
15,153,-2170.843815536018,alpha,139,2
16,154,-2173.3958682864377,alpha,139,2
17,155,-2176.0579766536966,alpha,139,2
18,156,-2179.029148846199,alpha,139,2
