steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,18096.71461360603,alpha,132,1
2,133,18221.601320847967,alpha,132,1
3,134,18378.89874146548,alpha,132,1
4,135,18546.005288567507,alpha,132,1
5,136,18724.594074202996,alpha,132,1
6,137,18913.300911061677,alpha,132,1
7,138,19111.207202944173,alpha,132,1
8,139,19317.394670328085,alpha,132,1
9,140,19531.001003805122,alpha,132,1
10,141,19751.211510952777,alpha,132,1
11,142,19977.258831091356,alpha,132,1
12,143,20208.42153819793,alpha,132,1
13,144,20444.022815672066,alpha,132,1
14,145,20683.4290638799,alpha,132,1
15,146,20926.0484692913,alpha,132,1
16,147,21171.329541805415,alpha,132,1
17,148,21418.75962892201,alpha,132,1
18,149,21667.86341441345,alpha,132,1
19,150,21918.201408572735,alpha,132,1
20,151,22169.368436511988,alpha,132,1
21,152,22420.99213041928,alpha,132,1
1,132,-2374.361161002361,alpha,132,2
2,133,-2438.7093272750453,alpha,132,2
3,134,-2067.0085495462854,alpha,132,2
4,135,-2397.0565602905554,alpha,132,2
5,136,-2391.5401930262524,alpha,132,2
6,137,-2398.7892060815557,alpha,132,2
7,138,-2495.668715855949,alpha,132,2
8,139,-2528.357360505449,alpha,132,2
9,140,-2575.2793853193616,alpha,132,2
10,141,-2630.1484796857003,alpha,132,2
11,142,-2673.759904738744,alpha,132,2
12,143,-2720.5139930185296,alpha,132,2
13,144,-2766.5019700089288,alpha,132,2
14,145,-2809.9465647745265,alpha,132,2
15,146,-2853.0978538658055,alpha,132,2
16,147,-2894.9328709461097,alpha,132,2
17,148,-2935.4048231295774,alpha,132,2
18,149,-2974.803301180338,alpha,132,2
19,150,-3012.917561261298,alpha,132,2
20,151,-3049.776769082102,alpha,132,2
21,152,-3085.409320391571,alpha,132,2
1,132,-3218.339995840888,alpha,132,3
2,133,-2142.976495936402,alpha,132,3
3,134,120.11869277750702,alpha,132,3
4,135,-863.4452801098614,alpha,132,3
5,136,-2199.3504226974455,alpha,132,3
6,137,-593.9115413019736,alpha,132,3
7,138,-954.5830449096684,alpha,132,3
8,139,-1377.070080018966,alpha,132,3
9,140,-1203.45777481205,alpha,132,3
10,141,-870.9704634237223,alpha,132,3
11,142,-1261.8482940757003,alpha,132,3
12,143,-1138.77233286306,alpha,132,3
13,144,-1076.9161069074435,alpha,132,3
14,145,-1094.4195149749612,alpha,132,3
15,146,-1179.4367559062703,alpha,132,3
16,147,-1080.4716328399409,alpha,132,3
17,148,-1120.685209921774,alpha,132,3
18,149,-1124.1350650614058,alpha,132,3
19,150,-1128.2389815787355,alpha,132,3
20,151,-1106.1268272154339,alpha,132,3
21,152,-1134.1617742225753,alpha,132,3
1,139,16829.091460571814,alpha,139,1
2,140,16669.694466233326,alpha,139,1
3,141,16536.618260111944,alpha,139,1
4,142,16417.26929586721,alpha,139,1
5,143,16312.46306371698,alpha,139,1
6,144,16221.461996130782,alpha,139,1
7,145,16143.71551172073,alpha,139,1
8,146,16078.659546476967,alpha,139,1
9,147,16025.74132226266,alpha,139,1
10,148,15984.417768840585,alpha,139,1
11,149,15954.156839117148,alpha,139,1
12,150,15934.438333090704,alpha,139,1
13,151,15924.754635337908,alpha,139,1
14,152,15924.61133004049,alpha,139,1
15,153,15933.527708168065,alpha,139,1
16,154,15951.037174974826,alpha,139,1
