steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17561.751554957693,alpha,132,1
2,133,17211.283138044106,alpha,132,1
3,134,16878.167178338652,alpha,132,1
4,135,16551.004056769743,alpha,132,1
5,136,16231.525619488417,alpha,132,1
6,137,15919.751520913,alpha,132,1
7,138,15615.875618191127,alpha,132,1
8,139,15320.030714500157,alpha,132,1
9,140,15032.322004718877,alpha,132,1
10,141,14752.826159568041,alpha,132,1
11,142,14481.59449801741,alpha,132,1
12,143,14218.655393365687,alpha,132,1
13,144,13964.016547670819,alpha,132,1
14,145,13717.66707173803,alpha,132,1
15,146,13479.57939496865,alpha,132,1
16,147,13249.711017089216,alpha,132,1
17,148,13028.006114191165,alpha,132,1
18,149,12814.397010399132,alpha,132,1
19,150,12608.805525646494,alpha,132,1
20,151,12411.144209236812,alpha,132,1
21,152,12221.317468133191,alpha,132,1
1,132,18024.086272307883,alpha,132,2
2,133,17652.23550538958,alpha,132,2
3,134,17179.518573998444,alpha,132,2
4,135,16810.93608262637,alpha,132,2
5,136,16453.806327818358,alpha,132,2
6,137,16087.629144129314,alpha,132,2
7,138,15729.537617558934,alpha,132,2
8,139,15381.261290847626,alpha,132,2
9,140,15040.391614940609,alpha,132,2
10,141,14707.287251200414,alpha,132,2
11,142,14382.573196649386,alpha,132,2
12,143,14066.364120776063,alpha,132,2
13,144,13758.741380163256,alpha,132,2
14,145,13459.823841297659,alpha,132,2
15,146,13169.690911676167,alpha,132,2
16,147,12888.38426361011,alpha,132,2
17,148,12615.923145767585,alpha,132,2
18,149,12352.305754522662,alpha,132,2
19,150,12097.509791695778,alpha,132,2
20,151,11851.494996602609,alpha,132,2
21,152,11614.20534135311,alpha,132,2
1,132,18848.296307593024,alpha,132,3
2,133,19282.926982283047,alpha,132,3
3,134,18608.35189634442,alpha,132,3
4,135,17773.971509028113,alpha,132,3
5,136,17363.260754629402,alpha,132,3
6,137,17204.73574454502,alpha,132,3
7,138,16960.02813473968,alpha,132,3
8,139,16579.16079745803,alpha,132,3
9,140,16189.167856742755,alpha,132,3
10,141,15865.372839803946,alpha,132,3
11,142,15579.934113491137,alpha,132,3
12,143,15289.481778997604,alpha,132,3
13,144,14988.952039102043,alpha,132,3
14,145,14696.103398180701,alpha,132,3
15,146,14420.15471904066,alpha,132,3
16,147,14157.046810139731,alpha,132,3
17,148,13901.062956927042,alpha,132,3
18,149,13651.806234297524,alpha,132,3
19,150,13411.63323321531,alpha,132,3
20,151,13181.634673528537,alpha,132,3
21,152,12961.133736471324,alpha,132,3
1,139,16615.386556004225,alpha,139,1
2,140,16279.04026285081,alpha,139,1
3,141,15971.404357890093,alpha,139,1
4,142,15683.76957692552,alpha,139,1
5,143,15415.9090500935,alpha,139,1
6,144,15166.739754326776,alpha,139,1
7,145,14935.336018242842,alpha,139,1
8,146,14720.814986370362,alpha,139,1
9,147,14522.345308205413,alpha,139,1
10,148,14339.142650198257,alpha,139,1
11,149,14170.466880459218,alpha,139,1
12,150,14015.619291345198,alpha,139,1
13,151,13873.940022984318,alpha,139,1
14,152,13744.805655888298,alpha,139,1
15,153,13627.626963027888,alpha,139,1
16,154,13521.846810236832,alpha,139,1
17,155,13426.938194822904,alpha,139,1
18,156,13342.40241294318,alpha,139,1
19,157,13267.767346960283,alpha,139,1
20,158,13202.58586460665,alpha,139,1
21,159,13146.434322351599,alpha,139,1
1,139,16859.730569367544,alpha,139,2
2,140,16485.697466203925,alpha,139,2
3,141,16040.5822964088,alpha,139,2
4,142,15685.987637308697,alpha,139,2
5,143,15364.13165054969,alpha,139,2
6,144,15052.626005183018,alpha,139,2
7,145,14761.627908001421,alpha,139,2
8,146,14492.500381859269,alpha,139,2
9,147,14242.202855405103,alpha,139,2
10,148,14009.61928577249,alpha,139,2
11,149,13794.235266074218,alpha,139,2
12,150,13595.22647149436,alpha,139,2
13,151,13411.757566051834,alpha,139,2
14,152,13243.099106244586,alpha,139,2
15,153,13088.564328532466,alpha,139,2
16,154,12947.492995130488,alpha,139,2
17,155,12819.26037656184,alpha,139,2
18,156,12703.276347125566,alpha,139,2
19,157,12598.981489959386,alpha,139,2
20,158,12505.845263067025,alpha,139,2
21,159,12423.364608917771,alpha,139,2
1,139,18708.414394921292,alpha,139,3
2,140,18520.062904521437,alpha,139,3
3,141,17730.93779439228,alpha,139,3
4,142,16818.52702144582,alpha,139,3
5,143,16631.55721104172,alpha,139,3
6,144,16546.102962137942,alpha,139,3
7,145,16352.87272362766,alpha,139,3
8,146,15998.467073489192,alpha,139,3
9,147,15703.2283745344,alpha,139,3
10,148,15494.478914230911,alpha,139,3
11,149,15331.100177634535,alpha,139,3
12,150,15153.830939232841,alpha,139,3
13,151,14973.382194355903,alpha,139,3
14,152,14810.597211988797,alpha,139,3
15,153,14673.946972620552,alpha,139,3
16,154,14553.224913519356,alpha,139,3
17,155,14441.6086330682,alpha,139,3
18,156,14339.197710870374,alpha,139,3
19,157,14249.177565191143,alpha,139,3
20,158,14171.813963051172,alpha,139,3
21,159,14105.407365356337,alpha,139,3
